80	40	80	40	60	0	30	30	80	30	40	30	30	80	60	80	40	60	60	40	30	80	80	30	30
30	80	40	30	30	60	0	60	30	30	40	80	40	40	30	60	60	60	60	30	60	40	40	30	30
40	80	40	40	80	30	40	0	60	30	40	80	30	60	60	30	60	80	60	60	40	60	80	80	30
80	60	60	60	30	60	80	80	0	80	30	40	60	40	60	60	60	80	80	60	60	60	60	60	30
30	40	80	60	40	30	80	30	40	0	80	60	30	30	80	60	40	60	80	80	60	60	60	40	40
30	40	40	60	60	60	60	80	40	80	0	30	80	40	40	30	40	60	30	80	60	40	30	60	60
60	80	80	40	80	40	40	80	80	80	30	0	60	80	80	40	60	40	30	60	80	40	30	40	30
30	60	60	40	30	30	40	60	60	40	80	40	0	40	60	80	30	40	30	80	40	60	80	40	60
30	60	60	80	40	60	40	80	60	30	60	30	80	0	60	60	60	80	40	60	30	40	80	40	40
30	30	40	60	80	30	30	40	30	60	80	80	40	40	0	40	40	80	40	40	60	40	30	60	40
30	60	40	60	80	30	30	30	30	30	60	60	40	30	40	0	30	80	60	30	30	40	40	60	80
30	30	40	60	80	30	30	30	40	80	40	80	80	40	30	80	0	30	60	40	30	60	30	60	40
80	30	80	60	40	80	80	80	30	80	40	40	30	40	60	60	60	0	80	30	40	80	60	30	60
40	60	40	40	40	80	30	40	30	80	30	40	30	60	60	80	60	30	0	80	30	30	60	40	40
40	30	80	80	80	40	30	80	60	30	40	40	60	60	30	40	30	40	60	0	80	60	80	30	60
80	40	80	80	80	30	40	30	40	40	80	80	80	60	60	80	60	60	30	80	0	40	30	60	80
60	80	60	60	60	80	30	60	80	80	40	30	30	80	30	40	60	40	30	30	40	0	40	60	40
60	60	80	60	80	60	40	30	80	30	30	40	80	80	60	60	40	40	80	30	30	60	0	80	30
40	80	30	60	60	80	30	40	60	30	80	40	30	60	40	30	40	40	40	60	30	30	30	0	80
40	80	30	30	60	80	60	30	80	80	30	40	30	30	80	40	40	80	30	40	30	60	60	80	0

EOF
