# AMPL data file for EVRP instance: C13R2
# Auto-generated by export_to_dat.py
# Nodes: 19 (depot_start + 13 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14;

set STATIONS := 15 16 17 18;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.132400
  3  0.133100
  4  0.050300
  5  0.090200
  6  0.107300
  7  0.078300
  8  0.076000
  9  0.142200
  10  0.099200
  11  0.121300
  12  0.134700
  13  0.089600
  14  0.096600
  15  0.000000
  16  0.000000
  17  0.000000
  18  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  15
  17  16
  18  16
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18 :=
   10   98.30124187   98.30124187   41.15863167   19.48453272   49.23238681   59.28956644   39.11226763   79.81889483   93.47461706  141.68521505    0.00000000   52.74539874   67.15118009  109.78990554   40.01106341   95.47694646   95.47694646   35.09545395   35.09545395
   11   20.43855734   20.43855734   30.48569012   58.52709606   75.66167794   22.20960928   46.08455377   41.11289480   90.81017448    3.45105844   52.74539874    0.00000000   45.52412860   33.76601386   93.14840772   45.37334803   45.37334803   50.84491379   50.84491379
   12   24.61105998   24.61105998   24.52076406   20.13422402   33.79881801   25.92260912   12.62480115   42.35901762   25.67471807   76.26581376   43.36993634   45.52412860    0.00000000   35.95652411  105.29414710   84.90738199   84.90738199    6.75305662    6.75305662
   13   21.69898405   21.69898405   67.88116350   29.05906586   41.50380444   32.86902844   49.16261218   41.35097758  137.63026577   17.64276116  109.78990554   33.76601386   55.67273623    0.00000000  150.71649339   28.54674035   28.54674035   13.76024956   13.76024956
   14   24.24447834   24.24447834   13.88355111   39.65568309   18.14554692  106.98855972   22.79334004   39.15526701   26.53077918  141.32336989  131.46037464   93.14840772   32.04715343   59.21569105    0.00000000   35.72024214   35.72024214   32.22459686   32.22459686
   15   19.46091141   19.46091141   23.55138089   30.00269018   48.13778184   11.02296698   48.68829428   16.85241153   32.24274945   40.28311162   95.47694646   45.37334803   25.84227113   60.57681451   58.71830480    0.00000000    0.00000000   20.24653351   20.24653351
   16   19.46091141   19.46091141   23.55138089   30.00269018   48.13778184   11.02296698   48.68829428   16.85241153   32.24274945   40.28311162   95.47694646   45.37334803   25.84227113   60.57681451   58.71830480    0.00000000    0.00000000   20.24653351   20.24653351
   17   27.73824197   27.73824197   60.37736205   26.81197153   30.28508816   25.32090828    9.87979843   76.99194000   93.31660921   55.21116807   89.32537406   15.47507433    8.71748449   29.19955395   68.38130739   26.13614127   26.13614127    0.00000000    0.00000000
   18   27.73824197   27.73824197   60.37736205   26.81197153   30.28508816   25.32090828    9.87979843   76.99194000   93.31660921   55.21116807   89.32537406   15.47507433    8.71748449   29.19955395   68.38130739   26.13614127   26.13614127    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18 :=
    0    0.00000000    0.00000000    2.60248710    3.75007084    5.59806535    4.15343924    0.36813124    7.99323675    5.63175088    5.11125589    7.49158035    5.11775447    2.90408699    5.43336160    6.07074587    3.77486646    3.77486646    2.11394347    2.11394347
    1    0.00000000    0.00000000    2.60248710    3.75007084    5.59806535    4.15343924    0.36813124    7.99323675    5.63175088    5.11125589    7.49158035    5.11775447    2.90408699    5.43336160    6.07074587    3.77486646    3.77486646    2.11394347    2.11394347
    2    2.60248710    2.60248710    0.00000000    4.81863110    4.35992740    5.52930695    2.24429844    8.43635116    3.52769523    7.51088138    7.98361058    7.63352689    4.75633478    8.00992740    3.47640025    4.56830186    4.56830186    4.60138499    4.60138499
    3    3.75007084    3.75007084    4.81863110    0.00000000    8.95710779    7.72186622    3.88783103   11.72019747    5.57899554    7.33786578    3.77944832    6.90615431    1.53443796    5.63663698    7.69208105    7.51258513    7.51258513    3.16379293    3.16379293
    4    5.59806535    5.59806535    4.35992740    8.95710779    0.00000000    4.93561774    5.30730251    5.32656703    6.94078299    8.39141481   12.32764445    8.92802238    8.46312434   10.39243022    4.54359143    3.66860127    3.66860127    7.58329675    7.58329675
    5    4.15343924    4.15343924    5.52930695    7.72186622    4.93561774    0.00000000    4.20318260    4.19805918    9.05637545    3.61711157   11.50049918    4.30803611    6.49094486    6.37566198    8.15364462    1.30070200    1.30070200    4.91154013    4.91154013
    6    0.36813124    0.36813124    2.24429844    3.88783103    5.30730251    4.20318260    0.00000000    7.92691836    5.35363837    5.39743078    7.58667382    5.43794347    3.16121297    5.80115210    5.70738512    3.71055606    3.71055606    2.47387239    2.47387239
    7    7.99323675    7.99323675    8.43635116   11.72019747    5.32656703    4.19805918    7.92691836    0.00000000   11.74277821    7.13624547   15.48260831    7.97473892   10.60657307   10.35416282    9.80436337    4.21979414    4.21979414    9.08499233    9.08499233
    8    5.63175088    5.63175088    3.52769523    5.57899554    6.94078299    9.05637545    5.35363837   11.74277821    0.00000000   10.74287291    7.12374118   10.71553384    6.42887368   10.48886235    3.13061244    8.07348936    8.07348936    7.11169933    7.11169933
    9    5.11125589    5.11125589    7.51088138    7.33786578    8.39141481    3.61711157    5.39743078    7.13624547   10.74287291    0.00000000   10.79789179    0.86413485    5.81225080    3.42219673   10.77031542    4.75337756    4.75337756    4.20766711    4.20766711
   10    7.49158035    7.49158035    7.98361058    3.77944832   12.32764445   11.50049918    7.58667382   15.48260831    7.12374118   10.79789179    0.00000000   10.23111571    5.11762061    8.36713640   10.01865226   11.26620950   11.26620950    6.80752556    6.80752556
   11    5.11775447    5.11775447    7.63352689    6.90615431    8.92802238    4.30803611    5.43794347    7.97473892   10.71553384    0.86413485   10.23111571    0.00000000    5.37181371    2.57332259   10.99144364    5.35402172    5.35402172    3.87491297    3.87491297
   12    2.90408699    2.90408699    4.75633478    1.53443796    8.46312434    6.49094486    3.16121297   10.60657307    6.42887368    5.81225080    5.11762061    5.37181371    0.00000000    4.24284341    8.02451269    6.47082847    6.47082847    1.69094546    1.69094546
   13    5.43336160    5.43336160    8.00992740    5.63663698   10.39243022    6.37566198    5.80115210   10.35416282   10.48886235    3.42219673    8.36713640    2.57332259    4.24284341    0.00000000   11.48616944    7.14801958    7.14801958    3.44552590    3.44552590
   14    6.07074587    6.07074587    3.47640025    7.69208105    4.54359143    8.15364462    5.70738512    9.80436337    3.13061244   10.77031542   10.01865226   10.99144364    8.02451269   11.48616944    0.00000000    6.92871680    6.92871680    8.06894401    8.06894401
   15    3.77486646    3.77486646    4.56830186    7.51258513    3.66860127    1.30070200    3.71055606    4.21979414    8.07348936    4.75337756   11.26620950    5.35402172    6.47082847    7.14801958    6.92871680    0.00000000    0.00000000    5.06967227    5.06967227
   16    3.77486646    3.77486646    4.56830186    7.51258513    3.66860127    1.30070200    3.71055606    4.21979414    8.07348936    4.75337756   11.26620950    5.35402172    6.47082847    7.14801958    6.92871680    0.00000000    0.00000000    5.06967227    5.06967227
   17    2.11394347    2.11394347    4.60138499    3.16379293    7.58329675    4.91154013    2.47387239    9.08499233    7.11169933    4.20766711    6.80752556    3.87491297    1.69094546    3.44552590    8.06894401    5.06967227    5.06967227    0.00000000    0.00000000
   18    2.11394347    2.11394347    4.60138499    3.16379293    7.58329675    4.91154013    2.47387239    9.08499233    7.11169933    4.20766711    6.80752556    3.87491297    1.69094546    3.44552590    8.06894401    5.06967227    5.06967227    0.00000000    0.00000000
;

