# AMPL data file for EVRP instance: C20R2
# Auto-generated by export_to_dat.py
# Nodes: 26 (depot_start + 20 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;

set STATIONS := 22 23 24 25;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.115800
  3  0.076100
  4  0.120100
  5  0.087100
  6  0.061400
  7  0.098600
  8  0.146000
  9  0.145600
  10  0.074500
  11  0.095600
  12  0.066600
  13  0.099400
  14  0.088800
  15  0.074400
  16  0.069700
  17  0.092500
  18  0.142000
  19  0.119300
  20  0.149100
  21  0.087400
  22  0.000000
  23  0.000000
  24  0.000000
  25  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  22
  24  23
  25  23
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25 :=
   18   15.05138180   15.05138180   31.78684021   26.49607598   40.83332661   42.00471216   14.95538039   33.56006401   18.38911245   21.52404359   34.06673280   24.72259841   37.51878405   84.28660835   53.58568069   58.00431447   87.55966230   49.27471784    0.00000000   67.58775761   35.35259050   76.14309619   91.79210094   91.79210094   19.30218144   19.30218144
   19   38.90632625   38.90632625   38.56907175    5.48900048    4.75738703   64.06183606   73.46123049  109.21391207   48.21139458   61.82410395   63.16678542   57.93115463   94.10433303   91.90704638   58.54447586   91.72955434   47.19246779   43.31694969   26.55486260    0.00000000   45.93866755   52.09868321   45.47085281   45.47085281   20.77264283   20.77264283
   20   20.27766266   20.27766266   13.36125179   43.25678692   48.07628574   16.20586847   30.30817169   83.56882636   27.97455628   23.56000753   57.31836522   19.20612499   31.98082058   19.97302957   97.77875406   20.43791739   37.95469283   36.95796081   35.35259050   75.51574463    0.00000000  151.11099404    4.94231625    4.94231625   18.82394849   18.82394849
   21   33.19455071   33.19455071  149.04156229   41.29625249  123.54784617   50.03377973   76.62550318   38.28476872   87.36061552   94.64522972   94.31592578  113.72988196   78.34716027  110.22081426   82.16855266   37.95590787   23.16901692   24.03133724   49.17741178   52.09868321   97.59581564    0.00000000  154.49319237  154.49319237   31.19551245   31.19551245
   22   27.52954723   27.52954723    5.50351661   42.70725438   47.77949802    8.39240354   31.88292527   26.92219253   29.70455798   37.15456956   24.27423043   24.84245924   13.45943768   45.55553262  102.49823054   56.95468369  129.18774432   30.03865516   27.93769287   45.47085281    1.94180919   99.78022589    0.00000000    0.00000000   19.20073025   19.20073025
   23   27.52954723   27.52954723    5.50351661   42.70725438   47.77949802    8.39240354   31.88292527   26.92219253   29.70455798   37.15456956   24.27423043   24.84245924   13.45943768   45.55553262  102.49823054   56.95468369  129.18774432   30.03865516   27.93769287   45.47085281    1.94180919   99.78022589    0.00000000    0.00000000   19.20073025   19.20073025
   24   10.33852202   10.33852202   20.08359784   25.30992892   44.68962726   14.86495231   32.65214015  100.93180508   56.65655266   17.91338664   60.73151413    9.23046244   12.22513829   22.57546031   26.07354053   74.14656043   64.43538409   79.25135570   19.30218144   68.25060813   24.29973391   66.19756750   24.78611945   24.78611945    0.00000000    0.00000000
   25   10.33852202   10.33852202   20.08359784   25.30992892   44.68962726   14.86495231   32.65214015  100.93180508   56.65655266   17.91338664   60.73151413    9.23046244   12.22513829   22.57546031   26.07354053   74.14656043   64.43538409   79.25135570   19.30218144   68.25060813   24.29973391   66.19756750   24.78611945   24.78611945    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25 :=
    0    0.00000000    0.00000000    5.06224880    7.35051611    7.43220473    3.30102374    1.27832814    5.50865509    1.80525477    5.84009491    5.69734517    3.66863169    2.88704951    3.50761534    3.94113400    3.97842174    5.15795076    3.45104483    2.91954241    7.54672702    5.07746692    6.43880409    5.33995363    5.33995363    2.58873542    2.58873542
    1    0.00000000    0.00000000    5.06224880    7.35051611    7.43220473    3.30102374    1.27832814    5.50865509    1.80525477    5.84009491    5.69734517    3.66863169    2.88704951    3.50761534    3.94113400    3.97842174    5.15795076    3.45104483    2.91954241    7.54672702    5.07746692    6.43880409    5.33995363    5.33995363    2.58873542    2.58873542
    2    5.06224880    5.06224880    0.00000000    6.93189308    7.96631753    1.85062315    6.11231732    7.59343405    5.90613948    3.00744972    5.82890494    3.67573875    2.17867372    5.97282296    8.13046756    5.13670867    9.96421143    7.77268050    6.16574807    7.48130918    1.57661789   11.35852221    1.37806433    1.37806433    3.89565002    3.89565002
    3    7.35051611    7.35051611    6.93189308    0.00000000    1.51652427    7.11399330    8.51653684   12.59762156    9.14789105    4.10597161   11.85366178    4.03838150    6.75167914   10.56091871   11.21986756   10.47242118   11.80781271   10.71277133    5.13948943    0.64769802    8.39059336   10.34045982    8.28399959    8.28399959    4.90941044    4.90941044
    4    7.43220473    7.43220473    7.96631753    1.51652427    0.00000000    7.84322175    8.47708290   12.87566713    9.23006646    5.35252485   12.42421044    4.64094845    7.41591569   10.83504567   11.12311293   10.92270350   11.40916612   10.61299864    4.81830252    0.92279855    9.32543983    9.41563503    9.26787141    9.26787141    5.27334317    5.27334317
    5    3.30102374    3.30102374    1.85062315    7.11399330    7.84322175    0.00000000    4.28035629    6.10669495    4.05800502    3.87587437    4.80085736    3.20558952    0.52942749    4.30570563    6.30260162    3.68996505    8.11421502    5.93238328    4.95652516    7.55924957    1.91228057    9.70513831    2.10143309    2.10143309    2.88338037    2.88338037
    6    1.27832814    1.27832814    6.11231732    8.51653684    8.47708290    4.28035629    0.00000000    4.77952401    0.99244533    7.10891857    5.52904530    4.93822812    3.94688415    2.96404066    2.70798560    3.81219071    3.92295258    2.20576331    3.74478314    8.66837120    5.87892819    5.83966289    6.18438585    6.18438585    3.85292854    3.85292854
    7    5.50865509    5.50865509    7.59343405   12.59762156   12.87566713    6.10669495    4.77952401    0.00000000    3.82456722    9.96168015    2.56945264    8.59912602    6.21454827    2.04306756    3.34397036    2.45750424    5.54660608    3.57456655    8.40334104   12.88716134    6.36881656    9.58639317    6.74123760    6.74123760    7.69205671    7.69205671
    8    1.80525477    1.80525477    5.90613948    9.14789105    9.23006646    4.05800502    0.99244533    3.82456722    0.00000000    7.31793801    4.57024291    5.36509608    3.83351798    1.97160142    2.31980490    2.87512327    4.08996855    1.89620449    4.60457952    9.35164713    5.42627280    6.65779046    5.76184420    5.76184420    4.31782049    4.31782049
    9    5.84009491    5.84009491    3.00744972    4.10597161    5.35252485    3.87587437    7.10891857    9.96168015    7.31793801    0.00000000    8.59351582    2.50460070    3.75591835    8.07660479    9.63373302    7.56442166   10.98638716    9.18308561    5.38955703    4.71164182    4.56997518   11.16806754    4.38421190    4.38421190    3.47469042    3.47469042
   10    5.69734517    5.69734517    5.82890494   11.85366178   12.42421044    4.80085736    5.52904530    2.56945264    4.57024291    8.59351582    0.00000000    7.83764806    5.10792141    2.73241613    5.28066320    1.73391642    7.61857042    5.30389502    8.53020941   12.25257001    4.36825752   11.12920991    4.70851423    4.70851423    7.16627403    7.16627403
   11    3.66863169    3.66863169    3.67573875    4.03838150    4.64094845    3.20558952    4.93822812    8.59912602    5.36509608    2.50460070    7.83764806    0.00000000    2.77671966    6.57749526    7.60304806    6.43428308    8.68596240    7.11783282    2.91724844    4.41495846    4.80915705    8.66740371    4.81873455    4.81873455    1.08918778    1.08918778
   12    2.88704951    2.88704951    2.17867372    6.75167914    7.41591569    0.52942749    3.94688415    6.21454827    3.83351798    3.75591835    5.10792141    2.77671966    0.00000000    4.32470242    6.12502241    3.85858133    7.83237252    5.72726420    4.42718894    7.17173210    2.43727223    9.24490732    2.61075028    2.61075028    2.37133110    2.37133110
   13    3.50761534    3.50761534    5.97282296   10.56091871   10.83504567    4.30570563    2.96404066    2.04306756    1.97160142    8.07660479    2.73241613    6.57749526    4.32470242    0.00000000    2.71996052    1.27960595    5.03157525    2.63791289    6.42351904   10.84496391    5.00118769    8.39997614    5.37551936    5.37551936    5.65282867    5.65282867
   14    3.94113400    3.94113400    8.13046756   11.21986756   11.12311293    6.30260162    2.70798560    3.34397036    2.31980490    9.63373302    5.28066320    7.60304806    6.12502241    2.71996052    0.00000000    3.99954213    2.33934323    0.51029684    6.32307093   11.35597268    7.45176133    6.26210110    7.81143468    7.81143468    6.52873764    6.52873764
   15    3.97842174    3.97842174    5.13670867   10.47242118   10.92270350    3.68996505    3.81219071    2.45750424    2.87512327    7.56442166    1.73391642    6.43428308    3.85858133    1.27960595    3.99954213    0.00000000    6.30549799    3.90085862    6.84446647   10.82401998    3.96437799    9.50404738    4.34054119    4.34054119    5.65074158    5.65074158
   16    5.15795076    5.15795076    9.96421143   11.80781271   11.40916612    8.11421502    3.92295258    5.54660608    4.08996855   10.98638716    7.61857042    8.68596240    7.83237252    5.03157525    2.33934323    6.30549799    0.00000000    2.41658995    6.67295990   11.81685474    9.50374314    4.49413406    9.84545412    9.84545412    7.60332796    7.60332796
   17    3.45104483    3.45104483    7.77268050   10.71277133   10.61299864    5.93238328    2.20576331    3.57456655    1.89620449    9.18308561    5.30389502    7.11783282    5.72726420    2.63791289    0.51029684    3.90085862    2.41658995    0.00000000    5.81438048   10.84643644    7.16879922    6.01737596    7.52159065    7.52159065    6.03978025    6.03978025
   18    2.91954241    2.91954241    6.16574807    5.13948943    4.81830252    4.95652516    3.74478314    8.40334104    4.60457952    5.38955703    8.53020941    2.91724844    4.42718894    6.42351904    6.32307093    6.84446647    6.67295990    5.81438048    0.00000000    5.15089237    6.85740278    5.80289844    6.99551589    6.99551589    2.27764322    2.27764322
   19    7.54672702    7.54672702    7.48130918    0.64769802    0.92279855    7.55924957    8.66837120   12.88716134    9.35164713    4.71164182   12.25257001    4.41495846    7.17173210   10.84496391   11.35597268   10.82401998   11.81685474   10.84643644    5.15089237    0.00000000    8.91080236   10.10567119    8.82005953    8.82005953    5.20140850    5.20140850
   20    5.07746692    5.07746692    1.57661789    8.39059336    9.32543983    1.91228057    5.87892819    6.36881656    5.42627280    4.56997518    4.36825752    4.80915705    2.43727223    5.00118769    7.45176133    3.96437799    9.50374314    7.16879922    6.85740278    8.91080236    0.00000000   11.51623451    0.37665607    0.37665607    4.71346118    4.71346118
   21    6.43880409    6.43880409   11.35852221   10.34045982    9.41563503    9.70513831    5.83966289    9.58639317    6.65779046   11.16806754   11.12920991    8.66740371    9.24490732    8.39997614    6.26210110    9.50404738    4.49413406    6.01737596    5.80289844   10.10567119   11.51623451    0.00000000   11.77399331   11.77399331    7.81126430    7.81126430
   22    5.33995363    5.33995363    1.37806433    8.28399959    9.26787141    2.10143309    6.18438585    6.74123760    5.76184420    4.38421190    4.70851423    4.81873455    2.61075028    5.37551936    7.81143468    4.34054119    9.84545412    7.52159065    6.99551589    8.82005953    0.37665607   11.77399331    0.00000000    0.00000000    4.80780622    4.80780622
   23    5.33995363    5.33995363    1.37806433    8.28399959    9.26787141    2.10143309    6.18438585    6.74123760    5.76184420    4.38421190    4.70851423    4.81873455    2.61075028    5.37551936    7.81143468    4.34054119    9.84545412    7.52159065    6.99551589    8.82005953    0.37665607   11.77399331    0.00000000    0.00000000    4.80780622    4.80780622
   24    2.58873542    2.58873542    3.89565002    4.90941044    5.27334317    2.88338037    3.85292854    7.69205671    4.31782049    3.47469042    7.16627403    1.08918778    2.37133110    5.65282867    6.52873764    5.65074158    7.60332796    6.03978025    2.27764322    5.20140850    4.71346118    7.81126430    4.80780622    4.80780622    0.00000000    0.00000000
   25    2.58873542    2.58873542    3.89565002    4.90941044    5.27334317    2.88338037    3.85292854    7.69205671    4.31782049    3.47469042    7.16627403    1.08918778    2.37133110    5.65282867    6.52873764    5.65074158    7.60332796    6.03978025    2.27764322    5.20140850    4.71346118    7.81126430    4.80780622    4.80780622    0.00000000    0.00000000
;

