# AMPL data file for EVRP instance: C11R2
# Auto-generated by export_to_dat.py
# Nodes: 17 (depot_start + 11 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12;

set STATIONS := 13 14 15 16;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.146400
  3  0.082000
  4  0.149700
  5  0.072600
  6  0.106100
  7  0.139600
  8  0.143100
  9  0.124300
  10  0.055400
  11  0.129200
  12  0.083300
  13  0.000000
  14  0.000000
  15  0.000000
  16  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  13
  15  14
  16  14
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16 :=
   10   20.87485142   20.87485142   44.57040211   22.01824614   22.90371278   42.98447645   23.31337419   24.60514876   14.46080515   52.94069349    0.00000000   37.33307840   86.14835289   62.30044292   62.30044292   14.56129464   14.56129464
   11   51.92517968   51.92517968   28.05360766   20.66926201   72.96633202   71.17605922    7.26435082   50.84043273  103.20635162   28.71395184   61.36954695    0.00000000  103.71095476   52.26067689   52.26067689   29.09787005   29.09787005
   12   28.18975169   28.18975169   42.12176821   37.61790997   38.10030240   33.78244825   65.92643063   16.02142611  121.79387122   63.37476347  133.38648952   40.74747041    0.00000000   23.67671768   23.67671768   55.93185929   55.93185929
   13    2.55128902    2.55128902   33.32831065   16.37529234   14.80510510   22.76779982   24.63178973    9.90319997   18.36335375    6.46222630   24.47750540   20.53293589   23.67671768    0.00000000    0.00000000   64.58600769   64.58600769
   14    2.55128902    2.55128902   33.32831065   16.37529234   14.80510510   22.76779982   24.63178973    9.90319997   18.36335375    6.46222630   24.47750540   20.53293589   23.67671768    0.00000000    0.00000000   64.58600769   64.58600769
   15   27.80484678   27.80484678   89.25637146   28.63835529    6.52215173   61.12811240   37.39481808   60.44238054   22.66010801   29.29871641   14.56129464   74.06025094   55.93185929   41.71320651   41.71320651    0.00000000    0.00000000
   16   27.80484678   27.80484678   89.25637146   28.63835529    6.52215173   61.12811240   37.39481808   60.44238054   22.66010801   29.29871641   14.56129464   74.06025094   55.93185929   41.71320651   41.71320651    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16 :=
    0    0.00000000    0.00000000    6.02580343    4.35864959    4.20098598    4.50889582    3.02237577    2.20644481    5.00592776    2.02493481    5.22700122    3.95724050    5.46801462    0.49487792    0.49487792    5.39335395    5.39335395
    1    0.00000000    0.00000000    6.02580343    4.35864959    4.20098598    4.50889582    3.02237577    2.20644481    5.00592776    2.02493481    5.22700122    3.95724050    5.46801462    0.49487792    0.49487792    5.39335395    5.39335395
    2    6.02580343    6.02580343    0.00000000    7.78055425    9.84174238    9.66043318    6.23339903    6.42637282   11.02403390    7.27702981   11.16029723    5.44160653    4.97033769    6.46474974    6.46474974   10.53218622   10.53218622
    3    4.35864959    4.35864959    7.78055425    0.00000000    3.76933536    8.09567459    1.68034571    6.55714155    6.55591242    2.67000419    5.51330389    2.43895772    9.41941370    4.10032490    4.10032490    3.37930487    3.37930487
    4    4.20098598    4.20098598    9.84174238    3.76933536    0.00000000    5.58102178    4.17306277    5.68241304    2.97347212    2.56684834    1.74550190    5.56079586    9.54020334    3.70715465    3.70715465    1.63312756    1.63312756
    5    4.50889582    4.50889582    9.66043318    8.09567459    5.58102178    0.00000000    7.25046351    3.23407253    3.53612878    5.44510530    5.07213662    8.39872267    6.55283959    4.41630929    4.41630929    7.21307233    7.21307233
    6    3.02237577    3.02237577    6.23339903    1.68034571    4.17306277    7.25046351    0.00000000    5.20876504    6.47176553    2.01183421    5.83760013    1.40907862    7.77927035    2.90653308    2.90653308    4.41256105    4.41256105
    7    2.20644481    2.20644481    6.42637282    6.55714155    5.68241304    3.23407253    5.20876504    0.00000000    5.30781364    4.07588220    6.16105668    5.99913369    4.01171784    2.47973206    2.47973206    7.13215647    7.13215647
    8    5.00592776    5.00592776   11.02403390    6.55591242    2.97347212    3.53612878    6.47176553    5.30781364    0.00000000    4.48006597    1.70636438    7.86540089    9.28196384    4.59812962    4.59812962    4.39542012    4.39542012
    9    2.02493481    2.02493481    7.27702981    2.67000419    2.56684834    5.44510530    2.01183421    4.07588220    4.48006597    0.00000000    4.03463325    3.38822521    7.47817550    1.61812241    1.61812241    3.45722700    3.45722700
   10    5.22700122    5.22700122   11.16029723    5.51330389    1.74550190    5.07213662    5.83760013    6.16105668    1.70636438    4.03463325    0.00000000    7.24156143   10.16544232    4.74794382    4.74794382    2.82447937    2.82447937
   11    3.95724050    3.95724050    5.44160653    2.43895772    5.56079586    8.39872267    1.40907862    5.99913369    7.86540089    3.38822521    7.24156143    0.00000000    7.90385692    3.98280889    3.98280889    5.64416390    5.64416390
   12    5.46801462    5.46801462    4.97033769    9.41941370    9.54020334    6.55283959    7.77927035    4.01171784    9.28196384    7.47817550   10.16544232    7.90385692    0.00000000    5.92858027    5.92858027   10.84919894   10.84919894
   13    0.49487792    0.49487792    6.46474974    4.10032490    3.70715465    4.41630929    2.90653308    2.47973206    4.59812962    1.61812241    4.74794382    3.98280889    5.92858027    0.00000000    0.00000000    4.92212771    4.92212771
   14    0.49487792    0.49487792    6.46474974    4.10032490    3.70715465    4.41630929    2.90653308    2.47973206    4.59812962    1.61812241    4.74794382    3.98280889    5.92858027    0.00000000    0.00000000    4.92212771    4.92212771
   15    5.39335395    5.39335395   10.53218622    3.37930487    1.63312756    7.21307233    4.41256105    7.13215647    4.39542012    3.45722700    2.82447937    5.64416390   10.84919894    4.92212771    4.92212771    0.00000000    0.00000000
   16    5.39335395    5.39335395   10.53218622    3.37930487    1.63312756    7.21307233    4.41256105    7.13215647    4.39542012    3.45722700    2.82447937    5.64416390   10.84919894    4.92212771    4.92212771    0.00000000    0.00000000
;

