# AMPL data file for EVRP instance: C23R2
# Auto-generated by export_to_dat.py
# Nodes: 29 (depot_start + 23 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;

set STATIONS := 25 26 27 28;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.072100
  3  0.094800
  4  0.133300
  5  0.076200
  6  0.091800
  7  0.127600
  8  0.117500
  9  0.130800
  10  0.091400
  11  0.131200
  12  0.101900
  13  0.080500
  14  0.088700
  15  0.050700
  16  0.069700
  17  0.072700
  18  0.058700
  19  0.086400
  20  0.145200
  21  0.072300
  22  0.053400
  23  0.097700
  24  0.076300
  25  0.000000
  26  0.000000
  27  0.000000
  28  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  23
  24  24
  25  25
  26  25
  27  26
  28  26
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28 :=
   15   36.50300681   36.50300681   38.95187489   72.55500010   10.59572022   34.39690589   45.27418558   47.76811214   71.01698304   15.67155866   32.93879441   28.66484418   30.01450030    5.48689495   24.62459742    0.00000000   45.36282846   55.96769392   74.90051097   24.59620794   34.32774621   30.44632979   89.91764401   59.20599613   14.64315185  119.58359770  119.58359770   17.20895105   17.20895105
   16   25.77239006   25.77239006   21.07617359   42.76000586   15.07562006   46.23042989   14.03701463   34.43831422   43.25280298   19.67835935   43.64464057   74.87392350   22.52488399   19.13295570   36.92074829   70.23684424    0.00000000   16.64952530   46.58557428    7.63922839   13.31773451   75.79930904   12.03541499   13.08005944   40.90098192   52.50422718   52.50422718   32.44920917   32.44920917
   17   23.58904090   23.58904090   23.92089073   41.03593155   56.59891995   16.53866568   89.35890782   71.49587491   45.33033240   24.73137951  155.09408528  124.42387553   41.89220024   45.19100874   58.48546965   26.37469862   16.64952530    0.00000000    9.40107540   16.60736365   24.66101598  127.43688321   32.62211837   26.12598183   27.16758061   87.45504904   87.45504904   76.91799358   76.91799358
   18   79.69895146   79.69895146  101.67697297   59.54599935   34.63425819   25.64439084   39.95134151   55.94526248  144.10228004   43.00634066   46.81417939   39.45827196   21.48227075   56.87388331   41.67490540   48.37488170   72.13006410   30.88817914    0.00000000   27.03779749   32.60706497  107.77221158   31.25713892   34.02014892   25.06829506   59.91946787   59.91946787   34.92201888   34.92201888
   19   33.07537823   33.07537823   25.41869515   15.27481258   16.91012431   34.19960049   10.59494260   41.52026034  104.44183088   14.77768154   68.74010738   21.80158144   15.96442518   21.77529726   73.89067665   62.60256607    3.00141131   54.56516428   27.03779749    0.00000000   20.10339205  109.73249895   10.76465842    4.91449287   21.96793794   83.71206339   83.71206339   49.32643908   49.32643908
   20   50.89731063   50.89731063    6.04237968   14.43352645   55.76163402   22.64353861   55.41859829  156.84358906   89.93802957   22.22587099  134.86756360   28.78928525   12.24347517   41.87712083   47.91021212   44.31350303   43.75675673   31.83477295   42.09228488   51.16739671    0.00000000  159.56652978    8.91063945   24.27699096   31.63907242   27.34719579   27.34719579  116.01656452  116.01656452
   21   52.64062069   52.64062069   44.29838051  102.97312299   23.25891641  103.14788199   34.40543542    8.80804206   29.43678713   56.15890266   60.37106401   31.13237933   44.14582096   17.93262453   45.58977553   30.44632979   35.72031991  127.43688321   69.60523924  109.73249895  159.56652978    0.00000000   87.43999161   68.23197068   56.22907715   47.87898577   47.87898577   24.92800412   24.92800412
   22   21.18197278   21.18197278    5.58651675   28.50742784   23.50034257   35.13228452   16.99122689   41.50681772   71.06756322   52.13676169   32.17339536   65.56702965   32.96483966   34.30133270   83.51598409   58.07377460   30.63268388   53.62549006   66.32834025   22.84284329   18.90857403  135.38637866    0.00000000   15.43855044   51.12569884   16.05831451   16.05831451   34.39817063   34.39817063
   23   25.00992718   25.00992718   20.57663374   16.77608315   31.76669107   21.25064082   32.37218540   29.69108280   72.02541172   24.61010174   35.27418407   32.99974553   25.47201496   47.85218605   45.89340123   23.26171407   13.08005944   12.31183293   20.69555586   16.14706082   61.79009114   68.23197068   50.72491086    0.00000000   22.12698177   30.39261859   30.39261859   32.28693427   32.28693427
   24    9.95231715    9.95231715   57.86534264   68.51099724   13.60449117   69.95671679   37.09155525   24.17381636   18.79179872   13.09561314   28.44516292   22.95896613   61.17612085   10.87219911   39.15189640    9.45735522   63.32841213   89.26181962   32.36052733   55.91306146  103.95335589   36.31583977   31.10141460   22.12698177    0.00000000   68.15044398   68.15044398   32.56494661   32.56494661
   25   55.11638189   55.11638189   18.69984501   91.04118441   84.77085171  103.16706923   20.79618952   50.84208693   32.12693250   91.71074167   59.86684637   22.96081693   40.42671632   48.74138386   87.44839696  119.58359770   81.29412013   87.45504904   98.49792071   25.47846593   27.34719579  101.60026696   52.76120807   39.23366795  105.51970151    0.00000000    0.00000000   62.18043081   62.18043081
   26   55.11638189   55.11638189   18.69984501   91.04118441   84.77085171  103.16706923   20.79618952   50.84208693   32.12693250   91.71074167   59.86684637   22.96081693   40.42671632   48.74138386   87.44839696  119.58359770   81.29412013   87.45504904   98.49792071   25.47846593   27.34719579  101.60026696   52.76120807   39.23366795  105.51970151    0.00000000    0.00000000   62.18043081   62.18043081
   27   17.21792276   17.21792276   30.64041244   79.93149068   21.60406027   50.59203301   61.50026371   80.83422867   29.87705665   17.52221066   25.89805772   25.27544330   35.61189036   38.70981645   41.99902920   43.80043045   32.44920917  119.09480334   74.10529659   30.00686675   45.58227760   24.92800412   26.64676883   32.28693427   12.79459052   96.27612257   96.27612257    0.00000000    0.00000000
   28   17.21792276   17.21792276   30.64041244   79.93149068   21.60406027   50.59203301   61.50026371   80.83422867   29.87705665   17.52221066   25.89805772   25.27544330   35.61189036   38.70981645   41.99902920   43.80043045   32.44920917  119.09480334   74.10529659   30.00686675   45.58227760   24.92800412   26.64676883   32.28693427   12.79459052   96.27612257   96.27612257    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28 :=
    0    0.00000000    0.00000000    4.90066048    6.27888910    0.79863183    6.55391660    2.58414747    6.40151635    5.55177208    1.10956582    5.91428096    3.81005494    5.60391894    2.95425019    6.20396070    2.78191001    3.04112308    5.90662626    6.07389172    2.52068894    6.00584524    6.21155455    4.10870369    2.95115302    1.93046808    6.50369255    6.50369255    3.33979009    3.33979009
    1    0.00000000    0.00000000    4.90066048    6.27888910    0.79863183    6.55391660    2.58414747    6.40151635    5.55177208    1.10956582    5.91428096    3.81005494    5.60391894    2.95425019    6.20396070    2.78191001    3.04112308    5.90662626    6.07389172    2.52068894    6.00584524    6.21155455    4.10870369    2.95115302    1.93046808    6.50369255    6.50369255    3.33979009    3.33979009
    2    4.90066048    4.90066048    0.00000000    2.35763419    5.44109540    3.21678558    3.05521551   10.99553264    9.44535326    4.55902860    9.13847176    6.08051199    3.18600859    7.18718145   10.83309853    7.55556217    2.48697299    5.98972048    7.74884628    2.99938734    1.17205078   11.09218382    1.08362626    3.99128504    6.82806790    4.68238604    4.68238604    7.67226890    7.67226890
    3    6.27888910    6.27888910    2.35763419    0.00000000    6.97619661    0.97091117    5.12697297   11.63522304   11.40302046    5.56431897   11.26086095    8.26427262    1.65504506    7.83576785   12.46732744    8.56143668    3.25875862    4.84220976    7.02638415    3.82476802    1.70314551   12.15075282    3.36385553    4.20068174    8.08424731    6.93828822    6.93828822    9.43185715    9.43185715
    4    0.79863183    0.79863183    5.44109540    6.97619661    0.00000000    7.29776077    2.79274098    6.28088492    4.75314025    1.89229195    5.14385224    3.25664719    6.37449978    3.19117459    5.49181233    2.65313709    3.77489080    6.67863095    6.71806663    3.28008590    6.57983183    5.82396407    4.55840187    3.74844620    1.60531996    6.46042344    6.46042344    2.54926323    2.54926323
    5    6.55391660    6.55391660    3.21678558    0.97091117    7.29776077    0.00000000    5.74876794   11.48251855   11.87180669    5.71493637   11.83251096    8.89917428    1.16094599    7.75414616   12.75456716    8.61288378    3.52324115    4.14123311    6.42127983    4.03552772    2.67192091   12.17137425    4.14558375    4.12202335    8.25484116    7.86240717    7.86240717    9.81342366    9.81342366
    6    2.58414747    2.58414747    3.05521551    5.12697297    2.79274098    5.74876794    0.00000000    8.97715725    6.39014384    2.95544282    6.13790396    3.15080794    5.17346703    5.47983741    7.88168386    5.34232062    2.72278387    6.81008119    7.74943043    2.65294238    4.22347545    8.61501955    2.00495228    3.81989408    4.37677625    4.03387265    4.03387265    4.68696182    4.68696182
    7    6.40151635    6.40151635   10.99553264   11.63522304    6.28088492   11.48251855    8.97715725    0.00000000    7.53679052    6.44392751    8.86402839    8.91271907   10.32613008    3.83323808    5.58490998    3.64042858    8.62325230    8.43646068    6.60149985    8.05375631   11.95311806    2.20550775   10.39318473    7.43455956    4.68903674   12.73070861   12.73070861    6.16041168    6.16041168
    8    5.55177208    5.55177208    9.44535326   11.40302046    4.75314025   11.87180669    6.39014384    7.53679052    0.00000000    6.62995852    1.45821958    3.70001108   11.04263518    6.72832563    2.64700360    5.41223513    8.38982059   11.35058153   10.98209737    7.95955731   10.61262138    5.70990423    8.38592022    8.49894564    4.70541097    8.04448914    8.04448914    2.27694347    2.27694347
    9    1.10956582    1.10956582    4.55902860    5.56431897    1.89229195    5.71493637    2.95544282    6.44392751    6.62995852    0.00000000    7.02376160    4.82765488    4.69114208    2.68116983    7.08771908    3.03983919    2.32203194    4.79718822    5.07471659    1.74375556    5.56529254    6.62670923    3.97336526    1.87554654    2.54017860    6.98931547    6.98931547    4.38750987    4.38750987
   10    5.91428096    5.91428096    9.13847176   11.26086095    5.14385224   11.83251096    6.13790396    8.86402839    1.45821958    7.02376160    0.00000000    3.08041273   11.11324945    7.61788892    4.09490333    6.38919460    8.46582600   11.81978762   11.72213244    8.11128214   10.27831561    7.12374118    8.05612330    8.83255165    5.51755718    7.06424387    7.06424387    3.05595177    3.05595177
   11    3.81005494    3.81005494    6.08051199    8.26427262    3.25664719    8.89917428    3.15080794    8.91271907    3.70001108    4.82765488    3.08041273    0.00000000    8.28319031    6.39457358    5.86509741    5.56016913    5.70617424    9.48239761    9.88023492    5.45905169    7.20875211    7.79545596    4.99689181    6.40101740    4.45339015    4.45374915    4.45374915    2.98248373    2.98248373
   12    5.60391894    5.60391894    3.18600859    1.65504506    6.37449978    1.16094599    5.17346703   10.32613008   11.04263518    4.69114208   11.11324945    8.28319031    0.00000000    6.61484993   11.77221046    7.51554235    2.65791975    3.19262278    5.37909723    3.09664701    3.06573007   11.05398336    3.88982685    3.00567904    7.21873729    7.84163970    7.84163970    8.91711231    8.91711231
   13    2.95425019    2.95425019    7.18718145    7.83576785    3.19117459    7.75414616    5.47983741    3.83323808    6.72832563    2.68116983    7.61788892    6.39457358    6.61484993    0.00000000    6.13207471    1.37390231    4.79083567    5.33250581    4.33438336    4.22379186    8.12297715    4.49027629    6.65348850    3.64683589    2.10889916    9.45445006    9.45445006    4.56772989    4.56772989
   14    6.20396070    6.20396070   10.83309853   12.46732744    5.49181233   12.75456716    7.88168386    5.58490998    2.64700360    7.08771908    4.09490333    5.86509741   11.77221046    6.13207471    0.00000000    4.77647551    9.24484647   11.34452714   10.43527339    8.71904553   11.99657580    3.47441660    9.85482473    8.90202197    4.61989500   10.31884656   10.31884656    3.20076426    3.20076426
   15    2.78191001    2.78191001    7.55556217    8.56143668    2.65313709    8.61288378    5.34232062    3.64042858    5.41223513    3.03983919    6.38919460    5.56016913    7.51554235    1.37390231    4.77647551    0.00000000    5.35278041    6.60414674    5.70820048    4.77096876    8.59556640    3.59264453    6.85266271    4.51211469    1.11596096    9.11351793    9.11351793    3.33804983    3.33804983
   16    3.04112308    3.04112308    2.48697299    3.25875862    3.77489080    3.52324115    2.72278387    8.62325230    8.38982059    2.32203194    8.46582600    5.70617424    2.65791975    4.79083567    9.24484647    5.35278041    0.00000000    4.16899203    5.49706352    0.58218891    3.33472144    8.94426275    2.33453015    1.54343740    4.82628580    6.19546021    6.19546021    6.29422891    6.29422891
   17    5.90662626    5.90662626    5.98972048    4.84220976    6.67863095    4.14123311    6.81008119    8.43646068   11.35058153    4.79718822   11.81978762    9.48239761    3.19262278    5.33250581   11.34452714    6.60414674    4.16899203    0.00000000    2.35400155    4.15843488    6.17504566    9.71202023    6.32776841    3.08284665    6.80268205   10.31963150   10.31963150    9.07626670    9.07626670
   18    6.07389172    6.07389172    7.74884628    7.02638415    6.71806663    6.42127983    7.74943043    6.60149985   10.98209737    5.07471659   11.72213244    9.88023492    5.37909723    4.33438336   10.43527339    5.70820048    5.49706352    2.35400155    0.00000000    5.24456808    8.16471289    8.21336707    7.82669539    4.01435257    6.27702714   11.62268224   11.62268224    8.74437053    8.74437053
   19    2.52068894    2.52068894    2.99938734    3.82476802    3.28008590    4.03552772    2.65294238    8.05375631    7.95955731    1.74375556    8.11128214    5.45905169    3.09664701    4.22379186    8.71904553    4.77096876    0.58218891    4.15843488    5.24456808    0.00000000    3.89948953    8.36276142    2.69543872    1.23057452    4.26115870    6.37973272    6.37973272    5.82048355    5.82048355
   20    6.00584524    6.00584524    1.17205078    1.70314551    6.57983183    2.67192091    4.22347545   11.95311806   10.61262138    5.56529254   10.27831561    7.20875211    3.06573007    8.12297715   11.99657580    8.59556640    3.33472144    6.17504566    8.16471289    3.89948953    0.00000000   12.16063456    2.23119784    4.70904969    7.92233041    5.30458260    5.30458260    8.84167279    8.84167279
   21    6.21155455    6.21155455   11.09218382   12.15075282    5.82396407   12.17137425    8.61501955    2.20550775    5.70990423    6.62670923    7.12374118    7.79545596   11.05398336    4.49027629    3.47441660    3.59264453    8.94426275    9.71202023    8.21336707    8.36276142   12.16063456    0.00000000   10.31785474    8.05132239    4.28524240   11.98875682   11.98875682    4.83532783    4.83532783
   22    4.10870369    4.10870369    1.08362626    3.36385553    4.55840187    4.14558375    2.00495228   10.39318473    8.38592022    3.97336526    8.05612330    4.99689181    3.88982685    6.65348850    9.85482473    6.85266271    2.33453015    6.32776841    7.82669539    2.69543872    2.23119784   10.31785474    0.00000000    3.86576749    6.03279488    4.02095459    4.02095459    6.67227232    6.67227232
   23    2.95115302    2.95115302    3.99128504    4.20068174    3.74844620    4.12202335    3.81989408    7.43455956    8.49894564    1.87554654    8.83255165    6.40101740    3.00567904    3.64683589    8.90202197    4.51211469    1.54343740    3.08284665    4.01435257    1.23057452    4.70904969    8.05132239    3.86576749    0.00000000    4.29200871    7.61022205    7.61022205    6.26275217    6.26275217
   24    1.93046808    1.93046808    6.82806790    8.08424731    1.60531996    8.25484116    4.37677625    4.68903674    4.70541097    2.54017860    5.51755718    4.45339015    7.21873729    2.10889916    4.61989500    1.11596096    4.82628580    6.80268205    6.27702714    4.26115870    7.92233041    4.28524240    6.03279488    4.29200871    0.00000000    8.04170229    8.04170229    2.48178873    2.48178873
   25    6.50369255    6.50369255    4.68238604    6.93828822    6.46042344    7.86240717    4.03387265   12.73070861    8.04448914    6.98931547    7.06424387    4.45374915    7.84163970    9.45445006   10.31884656    9.11351793    6.19546021   10.31963150   11.62268224    6.37973272    5.30458260   11.98875682    4.02095459    7.61022205    8.04170229    0.00000000    0.00000000    7.33724513    7.33724513
   26    6.50369255    6.50369255    4.68238604    6.93828822    6.46042344    7.86240717    4.03387265   12.73070861    8.04448914    6.98931547    7.06424387    4.45374915    7.84163970    9.45445006   10.31884656    9.11351793    6.19546021   10.31963150   11.62268224    6.37973272    5.30458260   11.98875682    4.02095459    7.61022205    8.04170229    0.00000000    0.00000000    7.33724513    7.33724513
   27    3.33979009    3.33979009    7.67226890    9.43185715    2.54926323    9.81342366    4.68696182    6.16041168    2.27694347    4.38750987    3.05595177    2.98248373    8.91711231    4.56772989    3.20076426    3.33804983    6.29422891    9.07626670    8.74437053    5.82048355    8.84167279    4.83532783    6.67227232    6.26275217    2.48178873    7.33724513    7.33724513    0.00000000    0.00000000
   28    3.33979009    3.33979009    7.67226890    9.43185715    2.54926323    9.81342366    4.68696182    6.16041168    2.27694347    4.38750987    3.05595177    2.98248373    8.91711231    4.56772989    3.20076426    3.33804983    6.29422891    9.07626670    8.74437053    5.82048355    8.84167279    4.83532783    6.67227232    6.26275217    2.48178873    7.33724513    7.33724513    0.00000000    0.00000000
;

