# AMPL data file for EVRP instance: C21R2
# Auto-generated by export_to_dat.py
# Nodes: 27 (depot_start + 21 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;

set STATIONS := 23 24 25 26;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.123100
  3  0.100200
  4  0.121500
  5  0.052400
  6  0.093500
  7  0.131200
  8  0.141400
  9  0.089900
  10  0.070400
  11  0.058500
  12  0.109500
  13  0.110800
  14  0.132600
  15  0.134100
  16  0.091300
  17  0.126300
  18  0.139200
  19  0.075400
  20  0.105800
  21  0.075300
  22  0.129900
  23  0.000000
  24  0.000000
  25  0.000000
  26  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  23
  24  23
  25  24
  26  24
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26 :=
   10   26.37018980   26.37018980   75.11233251   76.17982364   40.03945869   93.50473252   85.46060906   32.78643230   25.19784189   36.59780651    0.00000000   47.80587753   33.56392767   28.26798746   21.60436435    4.54762579   35.08145552   99.73944065   20.59056183   13.31976626   55.34371078   70.09883417    7.25809727   82.62117848   82.62117848   49.16163242   49.16163242
   11   14.92154305   14.92154305   71.88319181  105.09869322   55.37548346   68.41704300   63.77430103   13.91344093  104.43680082   15.91355547   14.55011826    0.00000000   53.47060663   30.28374048   18.73172748   33.13054924   37.94102112   98.57637832   22.00404434   14.76804659   67.80417466   18.56918036   67.01752413   11.34855471   11.34855471   52.58111290   52.58111290
   12   11.85819025   11.85819025   46.40608288  103.43406177   13.22736035   38.81784835   52.27609681   33.57396594   28.75315016    6.18344911   85.42731484   16.27422589    0.00000000   23.87546327   16.60993953   75.31233739   30.18602189   64.90912935  109.36865773   50.14629552   16.87207076   21.55169480   28.33197110   66.76618067   66.76618067   23.97025907   23.97025907
   13   15.74493214   15.74493214   24.57418971  132.54694807    9.35447984   41.31877403   45.09272373   57.13201337   38.44388945   18.41657730   28.26798746   30.28374048   11.25127916    0.00000000   53.49977083   31.04498070   31.91727498   65.63208881   38.29477603   58.20150492   66.62813339   12.49503703   42.53519216   11.22343060   11.22343060   37.22730014   37.22730014
   14   16.86768125   16.86768125    6.43510676   32.17783111   36.01988449   72.00932296   11.33151995   69.20668144   28.67146101   72.17844852   21.60436435   39.74914009   16.60993953   53.49977083    0.00000000   21.60301546   65.06538067   28.93099541   30.80854871   27.15571409   40.79430522   40.13573197   48.88837900   29.06113675   29.06113675    8.63049660    8.63049660
   15   57.01336776   57.01336776   28.70317782   55.04867503   87.88637686   40.61432733   35.08861538   21.09678936   35.14200643   31.74057006    9.65016252   10.08355948   48.64086192   79.01606053   35.51186583    0.00000000   43.08368950   64.08003905   46.45382856   13.38053768   51.24103853   36.96451705   14.56857239   43.72940670   43.72940670   23.41354152   23.41354152
   16   37.86262974   37.86262974   13.56212626   64.28336592   55.12886100   25.43892069   43.71517434   51.91981379   85.01524889   62.84321066   74.44362467   29.39126123   18.36313250   31.91727498   25.56383441  109.65712785    0.00000000   15.33399046   45.81228742   40.81999691   16.15476384   62.15624610   44.69222813   34.53566267   34.53566267   21.26588644   21.26588644
   17   66.11171360   66.11171360   10.60135404   40.76304142   69.98703791   66.14249443    9.13092495   55.64445107   47.40850256   85.07249580   30.35653211   63.66606286   64.90912935  101.62044465   17.59965934   64.08003905   15.33399046    0.00000000   44.09063415   34.05313647   58.99630002   47.05257044   58.57185582   38.35577525   38.35577525    9.55335867    9.55335867
   18   28.27965178   28.27965178  118.20344425   83.03956082   67.16691534  103.49915327  135.67373098   56.27985684   52.95146560   42.07732158   33.84755571   17.04557748   70.63631223   29.66529979   39.77058991   18.25145674   59.13883554   93.56130102    0.00000000   19.64623427   63.00410271  105.31418751   29.41332268   44.17308522   44.17308522   37.49412240   37.49412240
   19   23.47728591   23.47728591   19.03934955   25.47167054   64.19420737   88.90427512   21.98310738   57.58229389   27.59096889   34.50523505    5.23326376   14.76804659   77.64325257   58.20150492   42.04613613    8.13981343   31.62147874   86.67245501   64.54967946    0.00000000   40.42446626   69.19611030   18.55861669   55.12009469   55.12009469   19.14607806   19.14607806
   20   73.75940527   73.75940527   34.53481658   95.21607133   41.63008124    3.79566612  117.98451675   79.83836151   86.96114471   16.23566074   42.87236909   31.95262386   55.43488611   20.27882909  103.83015927   84.23198552   53.07810203   27.80192507   63.00410271   52.18372618    0.00000000   46.07393106   57.93515288   40.61951384   40.61951384   39.72331593   39.72331593
   21   59.42045246   59.42045246   64.44466606   98.05547978    4.47735067   25.67284375  133.96255149   36.48441080   44.33019007   22.46604657   42.64338589   61.01091045   16.69516194    7.60113477   65.97665644   28.63480594   62.15624610   77.34682094   41.37737184   69.19611030   21.71227651    0.00000000  125.54605862   37.95813215   37.95813215  113.92030577  113.92030577
   22   23.09437663   23.09437663   69.98158850   21.52659913   46.19545904  153.15008573   45.56899149   41.80126916   19.51464619  104.92727187   15.40184296   26.33082096   60.12106942   69.92098117   31.57481197   23.94837836   34.62112809   35.63115249   29.41332268   11.98617840   44.87984674   81.08457011    0.00000000   40.71713602   40.71713602   26.08146407   26.08146407
   23   23.54695778   23.54695778  101.12222889   43.10140283   15.64938035   30.40248466   40.12977214   13.08305030  139.58017365   34.46068189   25.14644599   11.34855471   43.12128248   14.48826623   61.66837505   67.70776054   34.53566267  126.02175885   44.17308522   85.34435872   40.61951384   37.95813215   40.71713602    0.00000000    0.00000000   44.40193392   44.40193392
   24   23.54695778   23.54695778  101.12222889   43.10140283   15.64938035   30.40248466   40.12977214   13.08305030  139.58017365   34.46068189   25.14644599   11.34855471   43.12128248   14.48826623   61.66837505   67.70776054   34.53566267  126.02175885   44.17308522   85.34435872   40.61951384   37.95813215   40.71713602    0.00000000    0.00000000   44.40193392   44.40193392
   25   35.76423248   35.76423248    5.75939458   46.37358708   31.28868118   43.46031284    7.88095154  126.41011164   13.44303138   31.77589222   49.16163242   24.77877698   61.00939344   28.83837258   21.96644439   49.68405305   21.26588644    9.55335867   37.49412240   24.71556924   30.77192762   44.75866893   26.08146407   44.40193392   44.40193392    0.00000000    0.00000000
   26   35.76423248   35.76423248    5.75939458   46.37358708   31.28868118   43.46031284    7.88095154  126.41011164   13.44303138   31.77589222   49.16163242   24.77877698   61.00939344   28.83837258   21.96644439   49.68405305   21.26588644    9.55335867   37.49412240   24.71556924   30.77192762   44.75866893   26.08146407   44.40193392   44.40193392    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26 :=
    0    0.00000000    0.00000000    3.20831552    7.06836937    3.71721285    5.93996496    5.73225984    5.81660753    6.57319938    2.29872102    5.11507107    2.89435737    1.39925773    3.05407157    3.27185314    4.34501353    4.46776248    5.03840242    7.08114139    4.55392953    5.62123632    4.52845850    5.78276379    4.56744390    4.56744390    4.22015314    4.22015314
    1    0.00000000    0.00000000    3.20831552    7.06836937    3.71721285    5.93996496    5.73225984    5.81660753    6.57319938    2.29872102    5.11507107    2.89435737    1.39925773    3.05407157    3.27185314    4.34501353    4.46776248    5.03840242    7.08114139    4.55392953    5.62123632    4.52845850    5.78276379    4.56744390    4.56744390    4.22015314    4.22015314
    2    3.20831552    3.20831552    0.00000000    4.55700844    6.75066298    7.38632524    2.63218708    8.81902511    3.71114629    5.05913338    5.72434349    5.47824928    3.53662774    6.15330462    1.61133175    5.56760477    3.39591641    2.05636288    9.00833584    4.76739697    6.69877777    7.60442322    5.33332726    7.70656900    7.70656900    1.11715967    1.11715967
    3    7.06836937    7.06836937    4.55700844    0.00000000   10.78080564   11.94212889    2.53368002   11.43853752    1.26965728    9.28406918    5.80569746    8.00961707    7.88275478   10.10146050    3.79696042    6.49570319    7.58538993    4.81000892    9.79860714    4.94078375   11.23542643   11.57047454    4.17555146   10.79246414   10.79246414    3.53415122    3.53415122
    4    3.71721285    3.71721285    6.75066298   10.78080564    0.00000000    4.58343479    9.36298922    4.55396604   10.27628329    1.78452990    7.76652267    4.22018965    3.31209202    0.71290897    6.98683895    6.69785896    6.50516507    8.25841903    7.92564664    7.57486928    4.91231899    0.86847941    8.96061264    3.03553722    3.03553722    7.83459348    7.83459348
    5    5.93996496    5.93996496    7.38632524   11.94212889    4.58343479    0.00000000    9.76885848    9.13732781   11.01414000    4.08861164   11.03348971    8.07316078    4.58047757    4.87558496    8.49704718   10.16970777    4.93443120    7.80476572   12.21282401   10.49063911    0.95042360    4.97980566   11.67163457    7.61269249    7.61269249    8.43007163    8.43007163
    6    5.73225984    5.73225984    2.63218708    2.53368002    9.36298922    9.76885848    0.00000000   10.99512495    1.33019509    7.68936114    6.51299014    7.52532064    6.16854100    8.74671318    2.83737917    6.80619907    5.15835844    2.28635667   10.33975398    5.50450525    8.99165128   10.20934425    5.37710750   10.04837658   10.04837658    1.52868173    1.52868173
    7    5.81660753    5.81660753    8.81902511   11.43853752    4.55396604    9.13732781   10.99512495    0.00000000   11.43954759    5.58890162    6.35964066    3.48388457    6.51239992    4.35405556    8.16633754    5.28257383   10.07097558   10.79344988    4.28911234    6.79466835    9.42086797    4.30513366    8.10826407    1.54379032    1.54379032    9.63376953    9.63376953
    8    6.57319938    6.57319938    3.71114629    1.26965728   10.27628329   11.01414000    1.33019509   11.43954759    0.00000000    8.67597722    6.30946529    7.95917396    7.19970399    9.62623653    3.38321132    6.81655543    6.47904905    3.61302258   10.27108686    5.35186769   10.26135115   11.10014884    4.88640985   10.63746567   10.63746567    2.60756792    2.60756792
    9    2.29872102    2.29872102    5.05913338    9.28406918    1.78452990    4.08861164    7.68936114    5.58890162    8.67597722    0.00000000    7.09893947    3.98470735    1.54831742    1.40353536    5.50075092    6.15677297    4.78930839    6.48341186    8.16181044    6.69303979    4.06536156    2.65097698    7.99655297    4.06633513    4.06633513    6.16362447    6.16362447
   10    5.11507107    5.11507107    5.72434349    5.80569746    7.76652267   11.03348971    6.51299014    6.35964066    6.30946529    7.09893947    0.00000000    3.64330670    6.51045278    7.07822068    4.19063571    1.13871208    8.78429299    7.60118610    3.99398669    1.01510517   10.73511477    8.27161090    1.81740615    6.29659591    6.29659591    5.80103649    5.80103649
   11    2.89435737    2.89435737    5.47824928    8.00961707    4.22018965    8.07316078    7.52532064    3.48388457    7.95917396    3.98470735    3.64330670    0.00000000    4.07501816    3.57345912    4.69036931    2.52489355    7.35948512    7.51254862    4.26816233    3.69787531    8.00084277    4.64966799    5.10743463    2.84164463    2.84164463    6.20453267    6.20453267
   12    1.39925773    1.39925773    3.53662774    7.88275478    3.31209202    4.58047757    6.16854100    6.51239992    7.19970399    1.54831742    6.51045278    4.07501816    0.00000000    2.81728712    4.15907987    5.73958595    3.56192839    4.94675295    8.33503292    5.91722601    4.22471675    4.18041931    7.09424200    5.08827964    5.08827964    4.64955238    4.64955238
   13    3.05407157    3.05407157    6.15330462   10.10146050    0.71290897    4.87558496    8.74671318    4.35405556    9.62623653    1.40353536    7.07822068    3.57345912    2.81728712    0.00000000    6.31293363    6.02184830    6.19104872    7.74453824    7.42810357    6.86773480    5.07775899    1.47440518    8.25062438    2.81031392    2.81031392    7.22104344    7.22104344
   14    3.27185314    3.27185314    1.61133175    3.79696042    6.98683895    8.49704718    2.83737917    8.16633754    3.38321132    5.50075092    4.19063571    4.69036931    4.15907987    6.31293363    0.00000000    4.19037406    4.95866093    3.41383619    7.71436973    3.20435430    7.91294155    7.78519696    3.72580460    7.27682293    7.27682293    1.67407227    1.67407227
   15    4.34501353    4.34501353    5.56760477    6.49570319    6.69785896   10.16970777    6.80619907    5.28257383    6.81655543    6.15677297    1.13871208    2.52489355    5.73958595    6.02184830    4.19037406    0.00000000    8.35701735    7.56139750    3.54026646    1.57889361    9.93931237    7.17007095    2.82589104    5.16003785    5.16003785    5.86268174    5.86268174
   16    4.46776248    4.46776248    3.39591641    7.58538993    6.50516507    4.93443120    5.15835844   10.07097558    6.47904905    4.78930839    8.78429299    7.35948512    3.56192839    6.19104872    4.95866093    8.35701735    0.00000000    2.97436050   11.47126165    7.91792501    4.04510522    7.33439135    8.66902836    8.64762807    8.64762807    4.12498057    4.12498057
   17    5.03840242    5.03840242    2.05636288    4.81000892    8.25841903    7.80476572    2.28635667   10.79344988    3.61302258    6.48341186    7.60118610    7.51254862    4.94675295    7.74453824    3.41383619    7.56139750    2.97436050    0.00000000   11.04016475    6.60534545    6.96152004    9.12686802    6.91143593    9.60417299    9.60417299    1.85308141    1.85308141
   18    7.08114139    7.08114139    9.00833584    9.79860714    7.92564664   12.21282401   10.33975398    4.28911234   10.27108686    8.16181044    3.99398669    4.26816233    8.33503292    7.42810357    7.71436973    3.54026646   11.47126165   11.04016475    0.00000000    4.91935912   12.22101417    8.02603998    5.70535279    5.21239159    5.21239159    9.38841766    9.38841766
   19    4.55392953    4.55392953    4.76739697    4.94078375    7.57486928   10.49063911    5.50450525    6.79466835    5.35186769    6.69303979    1.01510517    3.69787531    5.91722601    6.86773480    3.20435430    1.57889361    7.91792501    6.60534545    4.91935912    0.00000000   10.12216712    8.16509015    1.41436024    6.50413066    6.50413066    4.79412147    4.79412147
   20    5.62123632    5.62123632    6.69877777   11.23542643    4.91231899    0.95042360    8.99165128    9.42086797   10.26135115    4.06536156   10.73511477    8.00084277    4.22471675    5.07775899    7.91294155    9.93931237    4.04510522    6.96152004   12.22101417   10.12216712    0.00000000    5.43669000   11.23778125    7.87903696    7.87903696    7.70519991    7.70519991
   21    4.52845850    4.52845850    7.60442322   11.57047454    0.86847941    4.97980566   10.20934425    4.30513366   11.10014884    2.65097698    8.27161090    4.64966799    4.18041931    1.47440518    7.78519696    7.17007095    7.33439135    9.12686802    8.02603998    8.16509015    5.43669000    0.00000000    9.56791967    2.89280574    2.89280574    8.68191599    8.68191599
   22    5.78276379    5.78276379    5.33332726    4.17555146    8.96061264   11.67163457    5.37710750    8.10826407    4.88640985    7.99655297    1.81740615    5.10743463    7.09424200    8.25062438    3.72580460    2.82589104    8.66902836    6.91143593    5.70535279    1.41436024   11.23778125    9.56791967    0.00000000    7.89797290    7.89797290    5.05906644    5.05906644
   23    4.56744390    4.56744390    7.70656900   10.79246414    3.03553722    7.61269249   10.04837658    1.54379032   10.63746567    4.06633513    6.29659591    2.84164463    5.08827964    2.81031392    7.27682293    5.16003785    8.64762807    9.60417299    5.21239159    6.50413066    7.87903696    2.89280574    7.89797290    0.00000000    0.00000000    8.61271949    8.61271949
   24    4.56744390    4.56744390    7.70656900   10.79246414    3.03553722    7.61269249   10.04837658    1.54379032   10.63746567    4.06633513    6.29659591    2.84164463    5.08827964    2.81031392    7.27682293    5.16003785    8.64762807    9.60417299    5.21239159    6.50413066    7.87903696    2.89280574    7.89797290    0.00000000    0.00000000    8.61271949    8.61271949
   25    4.22015314    4.22015314    1.11715967    3.53415122    7.83459348    8.43007163    1.52868173    9.63376953    2.60756792    6.16362447    5.80103649    6.20453267    4.64955238    7.22104344    1.67407227    5.86268174    4.12498057    1.85308141    9.38841766    4.79412147    7.70519991    8.68191599    5.05906644    8.61271949    8.61271949    0.00000000    0.00000000
   26    4.22015314    4.22015314    1.11715967    3.53415122    7.83459348    8.43007163    1.52868173    9.63376953    2.60756792    6.16362447    5.80103649    6.20453267    4.64955238    7.22104344    1.67407227    5.86268174    4.12498057    1.85308141    9.38841766    4.79412147    7.70519991    8.68191599    5.05906644    8.61271949    8.61271949    0.00000000    0.00000000
;

