# AMPL data file for EVRP instance: C24R2
# Auto-generated by export_to_dat.py
# Nodes: 30 (depot_start + 24 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;

set STATIONS := 26 27 28 29;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.059900
  3  0.080000
  4  0.138400
  5  0.065400
  6  0.058800
  7  0.124900
  8  0.133600
  9  0.149400
  10  0.128300
  11  0.076100
  12  0.063900
  13  0.052300
  14  0.115800
  15  0.111800
  16  0.111500
  17  0.056600
  18  0.090500
  19  0.091200
  20  0.098400
  21  0.097200
  22  0.075800
  23  0.088500
  24  0.055800
  25  0.097100
  26  0.000000
  27  0.000000
  28  0.000000
  29  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  23
  24  24
  25  25
  26  26
  27  26
  28  27
  29  27
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29 :=
   10   11.30789970   11.30789970    4.46530475   26.52942186   44.95394465   24.85114554   16.32670592   34.71152655   80.78688220   36.90607550    0.00000000   44.16835593    6.27129601   27.29408706   12.02255786   10.69676237   19.74632870   15.46222738   36.91197575   59.23928156   51.51260260   64.67506537   25.22795052   16.97474567   27.63719089   26.48061077   33.73301182   33.73301182    9.29524965    9.29524965
   11   29.57177049   29.57177049  101.55090203   30.49889882    2.15685904   41.19448712   30.82655550   70.36283534   32.54123346   37.17074076   34.21530705    0.00000000   96.17033157   50.59137700  114.13987201   28.80165429   94.42292636   58.17933131   36.36591764   17.13566477   14.69349216   14.68493833   63.02839101   21.11100524   44.96636701   94.36816269   32.08071056   32.08071056   69.61251012   69.61251012
   12    9.10972988    9.10972988    6.30371976   25.96737286   38.60307639   35.10728412   23.59442824   33.18070638   25.97505841   37.54397618    6.27129601   29.27024394    0.00000000   48.11715212   20.50802843   12.02649456   82.21861376    2.11957660   70.90822260   78.21316668   27.66851453   51.58185646   17.68576887   19.31625910   12.77906257   25.09611377  108.25685415  108.25685415   35.69915486   35.69915486
   13   29.71907716   29.71907716   24.11150512   53.72958836   51.24647424   28.47050917   85.73470757  182.37363341  138.98814323  105.46260090   69.46924067  107.35602116   74.50145931    0.00000000   67.69846325  104.59848141  117.13124243   81.46314622   55.97324450   46.15757552   93.58099944   41.40008922   42.52744387   31.75877748   52.35177692    8.90995903   70.73215886   70.73215886   36.01809643   36.01809643
   14   15.45179430   15.45179430   23.53785713   29.04011021   35.22781841    6.73266758   18.47366182   58.96427720   53.02953554   18.95342241   25.51213373   34.73942371   33.71188414   41.18316269    0.00000000    7.98970992   10.31745334   50.00992335   33.65585722   34.83455304   69.61702871  118.36775964   10.69201292   52.51505436   52.64830410  106.63278257   54.38542617   54.38542617    6.54824574    6.54824574
   15   20.49228564   20.49228564   10.48958418   33.24632053   29.31386363    3.87904169    7.49905811   24.55778677   40.24402418   58.82850188   10.69676237   28.80165429   25.52048751  104.59848141   13.13379178    0.00000000   54.14822796   13.83891565   28.69315183   69.76314006   33.77675485   38.63444598    3.73924460   21.03677675   71.62378428   39.59074803   29.96442369   29.96442369    6.14445634    6.14445634
   16   54.50727791   54.50727791   42.78197464   71.62011153  147.67290612   19.36382252   23.42179310   44.12895572   74.14670452   23.45431803   19.74632870   57.44051713   25.02392205   35.64987229   21.89386423   21.27454445    0.00000000   32.02898210   42.07591491   36.55191285   30.32576747  152.24555267   49.75099487   26.29637759   69.29135371   38.49628167   40.17626149   40.17626149   14.48645052   14.48645052
   17   16.26858075   16.26858075    6.28866236   59.87196049   36.20223594   21.27217801    8.61340018   40.15508701   38.47503399   35.23018635   15.46222738   90.08108113    2.73615003   24.79398920   50.00992335   10.72040691   24.81146137    0.00000000  102.91947835   28.09655263   40.98519008   76.40809268   26.42862586    6.99812879   11.69014911   21.43021873   65.67143408   65.67143408   10.37672266   10.37672266
   18   86.66063836   86.66063836   70.98959461   26.22165478   22.87785697  106.54152286   69.05229122   15.37455135   18.11048179   71.90051758   78.32802908   14.28797138   33.41540217  118.77646303   43.44616515   37.03983545  138.24465202   31.32440315    0.00000000   21.32111466   16.56455687   83.11476338   37.38668904   31.40952674   41.05596755   66.02060280   33.76479141   33.76479141   70.76445509   70.76445509
   19   55.48007683   55.48007683   24.48493338   51.11430160   27.78015916   31.74994957   50.90092028   15.95571712    5.14022155   21.31197172   27.91642979    8.07515841   78.21316668  151.65535862   26.98481533   27.40955854  120.09498743   28.09655263   10.04754590    0.00000000   21.83981455   57.90640353   72.19593397   48.91225184   40.08114888  135.08657094   24.04931045   24.04931045   32.93139119   32.93139119
   20   30.64094191   30.64094191   44.21150229   11.54721001   19.40830460   25.31181110   41.94252291   16.48014129    9.35642036   19.57534769   24.27524298   18.96775004   45.48256597   93.58099944   21.18852435   20.54749138   99.63836034   19.31421434   42.16031058    8.58074443    0.00000000   74.19183100   16.32302162   40.86670615   98.89694503  132.15627985   30.07628829   30.07628829   26.50247538   26.50247538
   21   44.09444625   44.09444625   27.98410713   97.60565603   32.23068681  103.81514892   95.59107591   71.25021191   32.56494113   79.85419244   39.34393207   18.95670794   51.58185646   41.40008922  118.36775964   38.63444598   59.81645013   76.40809268   32.65533877   37.39914967   47.91717708    0.00000000   31.43837326   25.87326408   33.14561414  111.16287319  118.76745004  118.76745004   32.29205549   32.29205549
   22   37.31755764   37.31755764    9.59868838   31.64787832   99.20010612    9.59849285   15.22888878   79.16320983   65.56846681   16.76167286   15.34697748   97.58904883   13.70039703   32.94416375    6.50429694    1.76211386   49.75099487   12.45445351   28.96184425   28.36539004   21.07130085  103.29393859    0.00000000   24.39190218   23.40744205   68.14214177   29.01693650   29.01693650    5.24534638    5.24534638
   23    6.72463521    6.72463521   20.79544534   17.05552237   71.32980505   11.74363486    9.88470716   24.64823383   37.59309330   47.75118438   27.90373834   69.36233187    9.10276048   31.75877748   33.91711898   32.57197273   26.29637759    9.03384683   79.94390753   31.59023037   26.39397315   65.85294481   24.39190218    0.00000000   17.77454873   91.50195414   82.00791001   82.00791001   12.52385620   12.52385620
   24   52.28047777   52.28047777   45.77277401   38.61185987   75.31040666   19.84401736   16.42656673   42.41539515   34.97524567   50.29543351   16.81259624   34.83349157   32.52542469   20.56872860   32.02766458   21.79929718  107.28621169   15.09075064  134.89351234   40.08114888   98.89694503   84.36261819   30.21654111   58.40006827    0.00000000   21.52382273   54.88787922   54.88787922   41.94984536   41.94984536
   25   25.93636329   25.93636329   29.10191672   51.03098773   45.12564793   28.02434903   52.91351082   52.44393793  122.04218067  102.60220486   26.48061077   57.40720263   41.25395489    8.90995903  106.63278257   39.59074803   81.68996130   27.66415416  108.52720044  135.08657094   51.92348403  111.16287319   68.14214177   35.95062043   10.14307180    0.00000000  111.14497590  111.14497590   58.80674142   58.80674142
   26   87.61674952   87.61674952   39.60900513   43.31219498   24.86317318   26.94744091   28.76469298    4.12027435   44.54756144   25.54824839   33.73301182   32.08071056   32.94887807   70.73215886   54.38542617   76.26581376   31.12280487   30.94757280   15.91161142   61.21059596   18.29637800  118.76745004   73.85425789   24.95979261   42.51925618  111.14497590    0.00000000    0.00000000   35.78097367   35.78097367
   27   87.61674952   87.61674952   39.60900513   43.31219498   24.86317318   26.94744091   28.76469298    4.12027435   44.54756144   25.54824839   33.73301182   32.08071056   32.94887807   70.73215886   54.38542617   76.26581376   31.12280487   30.94757280   15.91161142   61.21059596   18.29637800  118.76745004   73.85425789   24.95979261   42.51925618  111.14497590    0.00000000    0.00000000   35.78097367   35.78097367
   28   14.86460724   14.86460724    7.78433320   19.06590549   43.05002993    0.92395975   12.22952008   29.24081584   75.24495052   28.28263706    9.29524965  107.78346934   35.69915486   27.90165499   16.66667430    4.75984346   18.70048110   34.09376637   33.34765193   25.51051850   67.45442103   68.52445610    6.77118944   16.16697864   64.95240386   35.77404099   91.07016715   91.07016715    0.00000000    0.00000000
   29   14.86460724   14.86460724    7.78433320   19.06590549   43.05002993    0.92395975   12.22952008   29.24081584   75.24495052   28.28263706    9.29524965  107.78346934   35.69915486   27.90165499   16.66667430    4.75984346   18.70048110   34.09376637   33.34765193   25.51051850   67.45442103   68.52445610    6.77118944   16.16697864   64.95240386   35.77404099   91.07016715   91.07016715    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29 :=
    0    0.00000000    0.00000000    2.01677508    3.63515913    5.88881601    2.70945813    2.12744567    6.63895796    3.34569236    5.95937552    2.83146473    5.73608718    1.76702997    7.44156926    3.86908372    2.41807464    6.43181873    1.23983561    6.60444490    4.22816076    3.61560862    5.20311224    2.84398728    0.51248737    3.98431792    6.49438887    6.67731055    6.67731055    2.88331343    2.88331343
    1    0.00000000    0.00000000    2.01677508    3.63515913    5.88881601    2.70945813    2.12744567    6.63895796    3.34569236    5.95937552    2.83146473    5.73608718    1.76702997    7.44156926    3.86908372    2.41807464    6.43181873    1.23983561    6.60444490    4.22816076    3.61560862    5.20311224    2.84398728    0.51248737    3.98431792    6.49438887    6.67731055    6.67731055    2.88331343    2.88331343
    2    2.01677508    2.01677508    0.00000000    4.38757680    7.88967322    1.49214850    0.62480087    7.88352756    5.31106901    6.49318408    0.86614284    7.73923836    1.22274336    6.03744976    2.77744984    2.03468268    5.04824156    1.21982265    8.37671998    6.13095510    5.21692477    7.00713789    2.40348326    2.45384726    3.48836299    5.64494884    7.68302685    7.68302685    1.50994050    1.50994050
    3    3.63515913    3.63515913    4.38757680    0.00000000    6.00389810    3.49170356    3.90208775    3.62413345    3.80414658    2.32765431    5.14595759    5.91592386    5.03693598   10.42202067    3.42671166    2.53371653    5.45819982    4.56286812    5.08625948    3.89544313    2.23983219    7.43856945    2.41189856    3.30828901    7.48960887    9.89856846    3.30084120    3.30084120    3.69824648    3.69824648
    4    5.88881601    5.88881601    7.88967322    6.00389810    0.00000000    8.12617777    7.86353894    5.34945202    2.61831978    7.25339639    8.71979396    0.16437516    7.48790512   12.83196600    8.82094182    7.34010499   11.25421633    7.02220997    2.69957031    2.11713800    3.76466223    3.80319735    7.56008318    5.43607543    8.88657263   11.29932914    6.22566523    6.22566523    8.35048835    8.35048835
    5    2.70945813    2.70945813    1.49214850    3.49170356    8.12617777    0.00000000    0.87899397    7.11325704    5.51118029    5.32496673    1.89391660    7.99056552    2.67554138    7.12893152    1.30594711    0.97130060    3.75603396    2.51010137    8.11957574    6.15859233    4.90977553    7.91179760    1.13261510    2.94057153    4.96888342    7.01721434    6.74755972    6.74755972    0.23135680    0.23135680
    6    2.12744567    2.12744567    0.62480087    3.90208775    7.86353894    0.87899397    0.00000000    7.46043219    5.25311725    5.93638100    1.24426535    7.71887857    1.79814163    6.53387931    2.17987852    1.45460520    4.54316549    1.67075605    8.14811961    6.00627118    4.94918687    7.28503742    1.79699768    2.47510152    4.11316386    6.24375538    7.20259428    7.20259428    0.93201704    0.93201704
    7    6.63895796    6.63895796    7.88352756    3.62413345    5.34945202    7.11325704    7.46043219    0.00000000    4.72143837    2.84548414    8.69166387    5.36238225    8.30835101   13.89877383    6.95774137    6.14919737    8.55976944    7.78895129    2.98222817    3.99526450    3.19668135    8.40747263    6.03306261    6.17184505   10.62068984   13.13180737    1.03170455    1.03170455    7.32181404    7.32181404
    8    3.34569236    3.34569236    5.31106901    3.80414658    2.61831978    5.51118029    5.25311725    4.72143837    0.00000000    5.60470388    6.15680339    2.47998154    5.03842675   10.59234678    6.25744621    4.74876527    8.74925663    4.54002573    3.51292130    0.99705761    1.81488095    3.84263912    4.99700134    2.86498597    6.78420856    9.30088761    5.25657950    5.25657950    5.73445037    5.73445037
    9    5.95937552    5.95937552    6.49318408    2.32765431    7.25339639    5.32496673    5.93638100    2.84548414    5.60470388    0.00000000    7.15873494    7.21007252    7.28246963   12.44450938    4.74588107    4.48334569    5.87289206    6.83365984    5.47956968    5.33645486    3.79706386    9.42273601    4.19707344    5.63460466    9.75589174   12.10698475    1.94704311    1.94704311    5.48603175    5.48603175
   10    2.83146473    2.83146473    0.86614284    5.14595759    8.71979396    1.89391660    1.24426535    8.69166387    6.15680339    7.15873494    0.00000000    8.56741197    1.57031402    5.29428101    3.01041303    2.67843775    4.94442246    1.82453146    9.24264986    6.99019168    6.07844924    7.63161017    2.97687962    3.29262061    3.26116821    5.13648962    8.44664666    8.44664666    1.80301556    1.80301556
   11    5.73608718    5.73608718    7.73923836    5.91592386    0.16437516    7.99056552    7.71887857    5.36238225    2.47998154    7.21007252    8.56741197    0.00000000    7.32918275   12.66793158    8.69864923    7.21184928   11.14183590    6.86511833    2.77146238    2.02199585    3.67920710    3.67706524    7.43730381    5.28613345    8.72220355   11.13537383    6.22275060    6.22275060    8.21422502    8.21422502
   12    1.76702997    1.76702997    1.22274336    5.03693598    7.48790512    2.67554138    1.79814163    8.30835101    5.03842675    7.28246963    1.57031402    7.32918275    0.00000000    5.67778858    3.97797755    3.01139877    6.26591627    0.53073573    8.36711814    5.96065941    5.36690935    6.08662115    3.43053901    2.27930438    2.47877675    4.86793635    8.25030189    8.25030189    2.72064810    2.72064810
   13    7.44156926    7.44156926    6.03744976   10.42202067   12.83196600    7.12893152    6.53387931   13.89877383   10.59234678   12.44450938    5.29428101   12.66793158    5.67778858    0.00000000    7.98836890    7.97149571    8.92662287    6.20834176   14.01553533   11.55772077   11.04248914   10.36646023    8.24912143    7.95230421    3.98975166    2.23102746   13.72003851   13.72003851    6.98649211    6.98649211
   14    3.86908372    3.86908372    2.77744984    3.42671166    8.82094182    1.30594711    2.17987852    6.95774137    6.25744621    4.74588107    3.01041303    8.69864923    3.97797755    7.98836890    0.00000000    1.54977778    2.58345989    3.81127798    8.42732738    6.75691817    5.30554400    9.02085839    1.26164966    4.00219511    6.21246118    8.12653069    6.41744031    6.41744031    1.27017449    1.27017449
   15    2.41807464    2.41807464    2.03468268    2.53371653    7.34010499    0.97130060    1.45460520    6.14919737    4.74876527    4.48334569    2.67843775    7.21184928    3.01139877    7.97149571    1.54977778    0.00000000    4.12665998    2.68435827    7.18468059    5.31667921    3.98563224    7.49398994    0.44122811    2.48232419    5.45847972    7.67948549    5.81225080    5.81225080    1.19185076    1.19185076
   16    6.43181873    6.43181873    5.04824156    5.45819982   11.25421633    3.75603396    4.54316549    8.55976944    8.74925663    5.87289206    4.94442246   11.14183590    6.26591627    8.92662287    2.58345989    4.12665998    0.00000000    6.21271675   10.53568499    9.15249117    7.59348273   11.60269971    3.79154493    6.58453539    8.17632880    9.63935539    7.79305854    7.79305854    3.62736448    3.62736448
   17    1.23983561    1.23983561    1.21982265    4.56286812    7.02220997    2.51010137    1.67075605    7.78895129    4.54002573    6.83365984    1.82453146    6.86511833    0.53073573    6.20834176    3.81127798    2.68435827    6.21271675    0.00000000    7.84353816    5.44993664    4.83622230    5.82309394    3.11855842    1.75231081    2.92717886    5.36606356    7.74918095    7.74918095    2.59830075    2.59830075
   18    6.60444490    6.60444490    8.37671998    5.08625948    2.69957031    8.11957574    8.14811961    2.98222817    3.51292130    5.47956968    9.24264986    2.77146238    8.36711814   14.01553533    8.42732738    7.18468059   10.53568499    7.84353816    0.00000000    2.51587586    3.21305559    6.33421223    7.25196038    6.09255992   10.28029318   12.80612988    3.98422057    3.98422057    8.35015368    8.35015368
   19    4.22816076    4.22816076    6.13095510    3.89544313    2.11713800    6.15859233    6.00627118    3.99526450    0.99705761    5.33645486    6.99019168    2.02199585    5.96065941   11.55772077    6.75691817    5.31667921    9.15249117    5.44993664    2.51587586    0.00000000    1.66442176    4.41307217    5.50208349    3.72762396    7.77460939   10.29500626    4.66488611    4.66488611    6.38775859    6.38775859
   20    3.61560862    3.61560862    5.21692477    2.23983219    3.76466223    4.90977553    4.94918687    3.19668135    1.81488095    3.79706386    6.07844924    3.67920710    5.36690935   11.04248914    5.30554400    3.98563224    7.59348273    4.83622230    3.21305559    1.66442176    0.00000000    5.65419167    4.08723647    3.11446943    7.53697915   10.07168750    3.54897991    3.54897991    5.14073073    5.14073073
   21    5.20311224    5.20311224    7.00713789    7.43856945    3.80319735    7.91179760    7.28503742    8.40747263    3.84263912    9.42273601    7.63161017    3.67706524    6.08662115   10.36646023    9.02085839    7.49398994   11.60269971    5.82309394    6.33421223    4.41307217    5.65419167    0.00000000    7.87207594    5.01868153    6.42931178    8.47177086    9.05131897    9.05131897    8.08583545    8.08583545
   22    2.84398728    2.84398728    2.40348326    2.41189856    7.56008318    1.13261510    1.79699768    6.03306261    4.99700134    4.19707344    2.97687962    7.43730381    3.43053901    8.24912143    1.26164966    0.44122811    3.79154493    3.11855842    7.25196038    5.50208349    4.08723647    7.87207594    0.00000000    2.87822653    5.86115445    8.04072264    5.62846508    5.62846508    1.31341926    1.31341926
   23    0.51248737    0.51248737    2.45384726    3.30828901    5.43607543    2.94057153    2.47510152    6.17184505    2.86498597    5.63460466    3.29262061    5.28613345    2.27930438    7.95230421    4.00219511    2.48232419    6.58453539    1.75231081    6.09255992    3.72762396    3.11446943    5.01868153    2.87822653    0.00000000    4.45069457    6.97340368    6.24985845    6.24985845    3.13593665    3.13593665
   24    3.98431792    3.98431792    3.48836299    7.48960887    8.88657263    4.96888342    4.11316386   10.62068984    6.78420856    9.75589174    3.26116821    8.72220355    2.47877675    3.98975166    6.21246118    5.45847972    8.17632880    2.92717886   10.28029318    7.77460939    7.53697915    6.42931178    5.86115445    4.45069457    0.00000000    2.53979526   10.64669634   10.64669634    4.95005092    4.95005092
   25    6.49438887    6.49438887    5.64494884    9.89856846   11.29932914    7.01721434    6.24375538   13.13180737    9.30088761   12.10698475    5.13648962   11.13537383    4.86793635    2.23102746    8.12653069    7.67948549    9.63935539    5.36606356   12.80612988   10.29500626   10.07168750    8.47177086    8.04072264    6.97340368    2.53979526    0.00000000   13.11502546   13.11502546    6.93915226    6.93915226
   26    6.67731055    6.67731055    7.68302685    3.30084120    6.22566523    6.74755972    7.20259428    1.03170455    5.25657950    1.94704311    8.44664666    6.22275060    8.25030189   13.72003851    6.41744031    5.81225080    7.79305854    7.74918095    3.98422057    4.66488611    3.54897991    9.05131897    5.62846508    6.24985845   10.64669634   13.11502546    0.00000000    0.00000000    6.94049700    6.94049700
   27    6.67731055    6.67731055    7.68302685    3.30084120    6.22566523    6.74755972    7.20259428    1.03170455    5.25657950    1.94704311    8.44664666    6.22275060    8.25030189   13.72003851    6.41744031    5.81225080    7.79305854    7.74918095    3.98422057    4.66488611    3.54897991    9.05131897    5.62846508    6.24985845   10.64669634   13.11502546    0.00000000    0.00000000    6.94049700    6.94049700
   28    2.88331343    2.88331343    1.50994050    3.69824648    8.35048835    0.23135680    0.93201704    7.32181404    5.73445037    5.48603175    1.80301556    8.21422502    2.72064810    6.98649211    1.27017449    1.19185076    3.62736448    2.59830075    8.35015368    6.38775859    5.14073073    8.08583545    1.31341926    3.13593665    4.95005092    6.93915226    6.94049700    6.94049700    0.00000000    0.00000000
   29    2.88331343    2.88331343    1.50994050    3.69824648    8.35048835    0.23135680    0.93201704    7.32181404    5.73445037    5.48603175    1.80301556    8.21422502    2.72064810    6.98649211    1.27017449    1.19185076    3.62736448    2.59830075    8.35015368    6.38775859    5.14073073    8.08583545    1.31341926    3.13593665    4.95005092    6.93915226    6.94049700    6.94049700    0.00000000    0.00000000
;

