# AMPL data file for EVRP instance: C12R2
# Auto-generated by export_to_dat.py
# Nodes: 18 (depot_start + 12 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13;

set STATIONS := 14 15 16 17;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.140300
  3  0.125200
  4  0.137300
  5  0.114100
  6  0.137900
  7  0.078200
  8  0.055300
  9  0.109500
  10  0.099400
  11  0.054700
  12  0.145500
  13  0.110600
  14  0.000000
  15  0.000000
  16  0.000000
  17  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  14
  16  15
  17  15
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17 :=
   10   22.10368727   22.10368727   49.55038527   21.79346502   48.29866635  137.55138161   24.95741114   23.25070727   31.20083429   18.74242225    0.00000000   31.38593243   43.53088296   28.84993280   96.24067261   96.24067261   37.11544519   37.11544519
   11   30.83676072   30.83676072   31.21233748   70.78240646  125.97784560   39.68447564    6.46657612   58.30180184    9.81955861   67.14969212   31.38593243    0.00000000   26.97587269   23.03955461   98.60033101   98.60033101   48.23447083   48.23447083
   12   64.55111662   64.55111662   63.86410011    9.67525976   34.65772489   42.41315949   71.10896133    8.14539721   32.12603962   10.10384495   28.11464549   26.97587269    0.00000000   12.32988832   79.27040762   79.27040762   90.29889084   90.29889084
   13   28.80277893   28.80277893   80.60752804   18.31651728   57.38943503   65.00540063   14.83706474   10.17184378   58.08852374   35.81811952   13.59549107   37.87330402   26.16429577    0.00000000   85.85710577   85.85710577   80.97938191   80.97938191
   14   25.00360670   25.00360670   39.98368356   85.09500315   14.68583745   79.75252562   26.46213240   68.76583908  110.74250365   41.10043776   62.15753526   63.68153282   37.35607034   55.45125501    0.00000000    0.00000000   43.96738120   43.96738120
   15   25.00360670   25.00360670   39.98368356   85.09500315   14.68583745   79.75252562   26.46213240   68.76583908  110.74250365   41.10043776   62.15753526   63.68153282   37.35607034   55.45125501    0.00000000    0.00000000   43.96738120   43.96738120
   16   41.88837805   41.88837805   35.86668280   38.93294487  164.78278486  105.51331412   17.65282671   65.88435233   10.36437792   66.00976216   78.75979573   31.15248200   58.32000483   24.64675149   43.96738120   43.96738120    0.00000000    0.00000000
   17   41.88837805   41.88837805   35.86668280   38.93294487  164.78278486  105.51331412   17.65282671   65.88435233   10.36437792   66.00976216   78.75979573   31.15248200   58.32000483   24.64675149   43.96738120   43.96738120    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17 :=
    0    0.00000000    0.00000000    7.46896918    4.32186689    7.63788970    5.71605598    0.73285499    4.71323604    2.63112223    6.11091781    5.53469810    2.35008293    4.91946864    2.19507230    6.26082937    6.26082937    4.94279782    4.94279782
    1    0.00000000    0.00000000    7.46896918    4.32186689    7.63788970    5.71605598    0.73285499    4.71323604    2.63112223    6.11091781    5.53469810    2.35008293    4.91946864    2.19507230    6.26082937    6.26082937    4.94279782    4.94279782
    2    7.46896918    7.46896918    0.00000000   11.40175482   11.28684919    1.94245516    7.00889640   12.04676335    7.08858921   13.57963751   12.40727032    6.05431078   12.38782934    9.51162906    7.75570387    7.75570387    8.98091158    8.98091158
    3    4.32186689    4.32186689   11.40175482    0.00000000   10.19051783    9.83491522    4.51273534    3.70801869    4.56123739    3.20239499    5.45701936    5.39435795    2.42265651    3.55288636   10.04114782   10.04114782    4.59405888    4.59405888
    4    7.63788970    7.63788970   11.28684919   10.19051783    0.00000000    9.48671783    8.25276015    7.14079691   10.22753784    9.27183262    5.69920713    9.60082634    8.67819209    6.77191115    3.67729038    3.67729038   12.55816762   12.55816762
    5    5.71605598    5.71605598    1.94245516    9.83491522    9.48671783    0.00000000    5.34356800   10.18622196    5.81246985   11.80716163   10.48285055    4.68273895   10.62013004    7.67058949    6.07797463    6.07797463    8.04121551    8.04121551
    6    0.73285499    0.73285499    7.00889640    4.51273534    8.25276015    5.34356800    0.00000000    5.35282301    1.97490547    6.60953789    6.24926214    1.61921159    5.41924484    2.87797097    6.62603990    6.62603990    4.42021574    4.42021574
    7    4.71323604    4.71323604   12.04676335    3.70801869    7.14079691   10.18622196    5.35282301    0.00000000    6.61298189    2.20382226    1.77194650    6.87956976    1.57997671    2.54699968    8.11431846    8.11431846    7.77430514    7.77430514
    8    2.63112223    2.63112223    7.08858921    4.56123739   10.22753784    5.81246985    1.97490547    6.61298189    0.00000000    7.35419133    7.81259688    1.15870070    6.23154316    4.42695163    8.43973431    8.43973431    2.59520966    2.59520966
    9    6.11091781    6.11091781   13.57963751    3.20239499    9.27183262   11.80716163    6.60953789    2.20382226    7.35419133    0.00000000    3.63549988    7.92361431    1.19224628    4.22651177   10.29142839   10.29142839    7.78910341    7.78910341
   10    5.53469810    5.53469810   12.40727032    5.45701936    5.69920713   10.48285055    6.24926214    1.77194650    7.81259688    3.63549988    0.00000000    7.85894491    3.31750750    3.40427086    7.33454347    7.33454347    9.29359800    9.29359800
   11    2.35008293    2.35008293    6.05431078    5.39435795    9.60082634    4.68273895    1.61921159    6.87956976    1.15870070    7.92361431    7.85894491    0.00000000    6.75467896    4.46902203    7.51437406    7.51437406    3.67596998    3.67596998
   12    4.91946864    4.91946864   12.38782934    2.42265651    8.67819209   10.62013004    5.41924484    1.57997671    6.23154316    1.19224628    3.31750750    6.75467896    0.00000000    3.08736767    9.35384983    9.35384983    6.88171770    6.88171770
   13    2.19507230    2.19507230    9.51162906    3.55288636    6.77191115    7.67058949    2.87797097    2.54699968    4.42695163    4.22651177    3.40427086    4.46902203    3.08736767    0.00000000    6.54320733    6.54320733    6.17147388    6.17147388
   14    6.26082937    6.26082937    7.75570387   10.04114782    3.67729038    6.07797463    6.62603990    8.11431846    8.43973431   10.29142839    7.33454347    7.51437406    9.35384983    6.54320733    0.00000000    0.00000000   11.00930257   11.00930257
   15    6.26082937    6.26082937    7.75570387   10.04114782    3.67729038    6.07797463    6.62603990    8.11431846    8.43973431   10.29142839    7.33454347    7.51437406    9.35384983    6.54320733    0.00000000    0.00000000   11.00930257   11.00930257
   16    4.94279782    4.94279782    8.98091158    4.59405888   12.55816762    8.04121551    4.42021574    7.77430514    2.59520966    7.78910341    9.29359800    3.67596998    6.88171770    6.17147388   11.00930257   11.00930257    0.00000000    0.00000000
   17    4.94279782    4.94279782    8.98091158    4.59405888   12.55816762    8.04121551    4.42021574    7.77430514    2.59520966    7.78910341    9.29359800    3.67596998    6.88171770    6.17147388   11.00930257   11.00930257    0.00000000    0.00000000
;

