# AMPL data file for EVRP instance: C17R2
# Auto-generated by export_to_dat.py
# Nodes: 23 (depot_start + 17 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;

set STATIONS := 19 20 21 22;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.050400
  3  0.135000
  4  0.133500
  5  0.097200
  6  0.131100
  7  0.100500
  8  0.092700
  9  0.050600
  10  0.143600
  11  0.066900
  12  0.127500
  13  0.100700
  14  0.084900
  15  0.092300
  16  0.126800
  17  0.085100
  18  0.057000
  19  0.000000
  20  0.000000
  21  0.000000
  22  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  19
  21  20
  22  20
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22 :=
   10   11.59253908   11.59253908   18.95706751  101.56271869   32.94324890   31.14309689   65.92152932   18.22578145   55.86187938   27.81665127    0.00000000   13.10857872    7.62547758   13.49310744    9.26020982   30.68381342    7.44547967   36.10897414   10.24951268   25.11882536   25.11882536   34.70376656   34.70376656
   11    4.51059158    4.51059158   15.42010624   38.13789194   34.17923170   11.55608761   19.70192400   52.37317465   78.08302379   20.16782367   27.81669402    0.00000000   13.45265178    9.10069544   49.55426352   46.48481326    7.32746644   23.60332969   20.19466461   66.79636105   66.79636105   62.51906828   62.51906828
   12   11.59520549   11.59520549   23.46318777   40.28978805   93.16722433   23.46031496   50.26661624    6.47546841   43.96357036   77.04874704   12.53505267   17.36595587    0.00000000    6.83655369   27.68525090   34.36278573   11.48114565   48.09198765    7.30835103   52.90546644   52.90546644   59.85886636   59.85886636
   13    5.63416029    5.63416029   17.43830047   53.09734554   45.69899074   15.02459217   19.93531377    9.69759207   48.60925163   73.94535792    6.35860828   14.96007240   22.46218503    0.00000000   22.66354642   82.40360829    2.10295494   78.35847961    1.74578382   42.80847984   42.80847984   74.20404686   74.20404686
   14   26.54011272   26.54011272   18.02339980   40.05131640   22.63555584   15.47731814   26.02068659   20.33847578   69.99920762   33.17562755    9.26020982   49.55426352   42.86603639   22.66354642    0.00000000  117.17818968   13.23354524  112.67316954   26.29336682   12.76455425   12.76455425   58.48541966   58.48541966
   15   76.17862600   76.17862600   47.23266327   23.60534664   32.76958779   39.26798629   38.51080034   26.57559219   44.65514194   11.86887256   30.68381342   71.97405231   34.36278573   25.08022669  117.17818968    0.00000000   32.87138116   33.25190949   49.52259821   42.14543911   42.14543911   44.61897914   44.61897914
   16    2.28127320    2.28127320   15.47145354   30.33599652   63.94559286   31.40978868   16.52515452   15.22030706   24.32979796   75.94500753    9.61132968   12.04517053   18.87314781    2.10295494   21.75380950   32.87138116    0.00000000   82.21573944    9.35096678   61.05514306   61.05514306   50.49968103   50.49968103
   17   48.59073924   48.59073924   50.36639153   66.63180934  124.19872034   42.00495193   11.00109677   70.64914971    4.78790965    9.30729558   91.90499791   50.08678773   48.09198765   50.60822860   44.26867589   13.06449450   32.30211715    0.00000000   73.29129005  142.61178458  142.61178458   39.17881435   39.17881435
   18    3.61321598    3.61321598   23.53121025   78.89150660   27.72450925   39.90085423   29.38926726   32.49883722   27.77275569   68.29212611   10.24951268    6.14641491    9.43431106    3.70459189   15.99510464   23.33745615    9.35096678   73.29129005    0.00000000   45.45013061   45.45013061   30.96125525   30.96125525
   19   43.63395703   43.63395703   22.61396519   29.52352973   55.91146461   11.83259959   45.03346657   27.88374540   91.03727353   52.27592141   25.11882536   66.79636105   32.18410474   26.04178153   27.08666649   89.43355410   18.58264292   92.10655733   45.45013061    0.00000000    0.00000000   28.73045335   28.73045335
   20   43.63395703   43.63395703   22.61396519   29.52352973   55.91146461   11.83259959   45.03346657   27.88374540   91.03727353   52.27592141   25.11882536   66.79636105   32.18410474   26.04178153   27.08666649   89.43355410   18.58264292   92.10655733   45.45013061    0.00000000    0.00000000   28.73045335   28.73045335
   21   53.55840199   53.55840199   67.09095783  155.08721884   52.08425320   96.90128754  108.43705815   18.07925472   46.97712657   53.30603611   53.73304816   29.46202476   59.85886636   22.58462166   22.97860349   44.61897914   50.49968103  128.72593664   23.98433976   28.73045335   28.73045335    0.00000000    0.00000000
   22   53.55840199   53.55840199   67.09095783  155.08721884   52.08425320   96.90128754  108.43705815   18.07925472   46.97712657   53.30603611   53.73304816   29.46202476   59.85886636   22.58462166   22.97860349   44.61897914   50.49968103  128.72593664   23.98433976   28.73045335   28.73045335    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22 :=
    0    0.00000000    0.00000000    4.24703585    5.62239243    4.96004827    2.68657314    3.60096248    2.90307691    5.59854605    5.21794094    2.24862474    1.12943883    2.24914195    0.66482677    3.13171379    5.80560618    0.57122408    5.73367151    0.42635683    5.14877486    5.14877486    6.31985206    6.31985206
    1    0.00000000    0.00000000    4.24703585    5.62239243    4.96004827    2.68657314    3.60096248    2.90307691    5.59854605    5.21794094    2.24862474    1.12943883    2.24914195    0.66482677    3.13171379    5.80560618    0.57122408    5.73367151    0.42635683    5.14877486    5.14877486    6.31985206    6.31985206
    2    4.24703585    4.24703585    0.00000000    5.66926376    2.61004444    1.62231484    7.66650658    6.63918919    9.76755633    8.84090610    4.74679379    3.86114912    5.87511301    4.36649900    3.49602986    9.16180093    3.87400633    9.76965559    4.56438932    1.72342011    1.72342011    7.91668371    7.91668371
    3    5.62239243    5.62239243    5.66926376    0.00000000    3.39428568    4.91584818    6.50137423    8.35721815    8.39953803    6.18241437    7.74013891    4.50024321    7.81507948    6.26544774    7.76882273    5.91070917    5.88432542    7.86250452    6.01235599    7.39260477    7.39260477   11.81926432   11.81926432
    4    4.96004827    4.96004827    2.61004444    3.39428568    0.00000000    2.74116609    7.56783524    7.81842613    9.71081544    8.13932705    6.39005865    4.03312422    7.10031464    5.39244732    5.66787642    8.20540813    4.87332141    9.46523843    5.37777074    4.26103701    4.26103701   10.10287217   10.10287217
    5    2.68657314    2.68657314    1.62231484    4.91584818    2.74116609    0.00000000    6.04462984    5.30303097    8.15057179    7.25346332    3.67486254    2.24155419    4.55063764    2.91434598    3.00216202    7.61687884    2.39375364    8.14777277    3.04086144    2.96284804    2.96284804    7.38488922    7.38488922
    6    3.60096248    3.60096248    7.66650658    6.50137423    7.56783524    6.04462984    0.00000000    3.73733533    2.15124338    2.07716686    5.02390839    3.82161608    3.83084066    3.86688710    6.51550317    2.93492482    4.13784995    2.13390166    3.46791193    8.73521896    8.73521896    8.26403531    8.26403531
    7    2.90307691    2.90307691    6.63918919    8.35721815    7.81842613    5.30303097    3.73733533    0.00000000    4.79844169    5.81386328    2.15062881    3.99138239    0.76410051    2.42824845    3.94508913    6.65444990    2.95230914    5.38420239    2.47675050    6.98200760    6.98200760    4.52699206    4.52699206
    8    5.59854605    5.59854605    9.76755633    8.39953803    9.71081544    8.15057179    2.15124338    4.79844169    0.00000000    2.59752798    6.59166070    5.95074117    5.18766899    5.73585596    8.25985504    3.40318777    6.09210965    0.92871907    5.38712919   10.74233136   10.74233136    9.11223404    9.11223404
    9    5.21794094    5.21794094    8.84090610    6.18241437    8.13932705    7.25346332    2.07716686    5.81386328    2.59752798    0.00000000    6.96520743    5.04996356    5.87191849    5.63540785    8.30707929    0.90453193    5.78780202    1.80535213    5.20457260   10.14005039   10.14005039   10.33986351   10.33986351
   10    2.24862474    2.24862474    4.74679379    7.74013891    6.39005865    3.67486254    5.02390839    2.15062881    6.59166070    6.96520743    0.00000000    3.28234945    1.47912700    1.59217676    1.79621883    7.68313638    1.86432615    7.00411982    1.98811560    4.87234176    4.87234176    4.09501894    4.09501894
   11    1.12943883    1.12943883    3.86114912    4.50024321    4.03312422    2.24155419    3.82161608    3.99138239    5.95074117    5.04996356    3.28234945    0.00000000    3.36850433    1.76527755    3.77655195    5.48517380    1.42132127    5.91020413    1.53904416    5.09057970    5.09057970    7.37720410    7.37720410
   12    2.24914195    2.24914195    5.87511301    7.81507948    7.10031464    4.55063764    3.83084066    0.76410051    5.18766899    5.87191849    1.47912700    3.36850433    0.00000000    1.71185288    3.26683926    6.66540865    2.22701757    5.67481919    1.82998954    6.24280615    6.24280615    4.56187021    4.56187021
   13    0.66482677    0.66482677    4.36649900    6.26544774    5.39244732    2.91434598    3.86688710    2.42824845    5.73585596    5.63540785    1.59217676    1.76527755    1.71185288    0.00000000    2.67428182    6.28001479    0.52657371    5.97173377    0.43713912    5.05136915    5.05136915    5.65512265    5.65512265
   14    3.13171379    3.13171379    3.49602986    7.76882273    5.66787642    3.00216202    6.51550317    3.94508913    8.25985504    8.30707929    1.79621883    3.77655195    3.26683926    2.67428182    0.00000000    8.93020074    2.56693353    8.58687120    3.10259796    3.19620674    3.19620674    4.45719924    4.45719924
   15    5.80560618    5.80560618    9.16180093    5.91070917    8.20540813    7.61687884    2.93492482    6.65444990    3.40318777    0.90453193    7.68313638    5.48517380    6.66540865    6.28001479    8.93020074    0.00000000    6.37611834    2.53414247    5.84363019   10.55309364   10.55309364   11.17246077   11.17246077
   16    0.57122408    0.57122408    3.87400633    5.88432542    4.87332141    2.39375364    4.13784995    2.95230914    6.09210965    5.78780202    1.86432615    1.42132127    2.22701757    0.52657371    2.56693353    6.37611834    0.00000000    6.26569722    0.71264124    4.65303898    4.65303898    5.95892524    5.95892524
   17    5.73367151    5.73367151    9.76965559    7.86250452    9.46523843    8.14777277    2.13390166    5.38420239    0.92871907    1.80535213    7.00411982    5.91020413    5.67481919    5.97173377    8.58687120    2.53414247    6.26569722    0.00000000    5.58556106   10.86850606   10.86850606    9.81025956    9.81025956
   18    0.42635683    0.42635683    4.56438932    6.01235599    5.37777074    3.04086144    3.46791193    2.47675050    5.38712919    5.20457260    1.98811560    1.53904416    1.82998954    0.43713912    3.10259796    5.84363019    0.71264124    5.58556106    0.00000000    5.36308200    5.36308200    6.00560793    6.00560793
   19    5.14877486    5.14877486    1.72342011    7.39260477    4.26103701    2.96284804    8.73521896    6.98200760   10.74233136   10.14005039    4.87234176    5.09057970    6.24280615    5.05136915    3.19620674   10.55309364    4.65303898   10.86850606    5.36308200    0.00000000    0.00000000    7.19402078    7.19402078
   20    5.14877486    5.14877486    1.72342011    7.39260477    4.26103701    2.96284804    8.73521896    6.98200760   10.74233136   10.14005039    4.87234176    5.09057970    6.24280615    5.05136915    3.19620674   10.55309364    4.65303898   10.86850606    5.36308200    0.00000000    0.00000000    7.19402078    7.19402078
   21    6.31985206    6.31985206    7.91668371   11.81926432   10.10287217    7.38488922    8.26403531    4.52699206    9.11223404   10.33986351    4.09501894    7.37720410    4.56187021    5.65512265    4.45719924   11.17246077    5.95892524    9.81025956    6.00560793    7.19402078    7.19402078    0.00000000    0.00000000
   22    6.31985206    6.31985206    7.91668371   11.81926432   10.10287217    7.38488922    8.26403531    4.52699206    9.11223404   10.33986351    4.09501894    7.37720410    4.56187021    5.65512265    4.45719924   11.17246077    5.95892524    9.81025956    6.00560793    7.19402078    7.19402078    0.00000000    0.00000000
;

