# AMPL data file for EVRP instance: C10R2
# Auto-generated by export_to_dat.py
# Nodes: 16 (depot_start + 10 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11;

set STATIONS := 12 13 14 15;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.124900
  3  0.149600
  4  0.113600
  5  0.105300
  6  0.071500
  7  0.131400
  8  0.120700
  9  0.084900
  10  0.117300
  11  0.092100
  12  0.000000
  13  0.000000
  14  0.000000
  15  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  12
  14  13
  15  13
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15 :=
   10    7.82461175    7.82461175   53.73336726   15.80171110   44.16291435   18.76560260   23.67764351   40.91633293   75.49078486   30.39255590    0.00000000    9.24895326   33.73075116   33.73075116   78.31089362   78.31089362
   11   15.93669112   15.93669112   31.65022642   66.81145124   47.60184768   24.40029418   11.86180898   24.00898063   30.42928829  104.99761291    9.24895326    0.00000000   33.74457893   33.74457893   35.92599530   35.92599530
   12   26.40937567   26.40937567    6.35287333   34.17256052   18.87875450   24.40128730   76.02986304  157.12056189   68.99139113   17.91764296   33.73075116   71.60674297    0.00000000    0.00000000   31.44130620   31.44130620
   13   26.40937567   26.40937567    6.35287333   34.17256052   18.87875450   24.40128730   76.02986304  157.12056189   68.99139113   17.91764296   33.73075116   71.60674297    0.00000000    0.00000000   31.44130620   31.44130620
   14   20.65288917   20.65288917   28.50624475  100.65642910   42.17163306    6.51432692   25.16022447   74.59193004   84.59094021   38.65396988   30.76792445   27.83030825   19.12676250   19.12676250    0.00000000    0.00000000
   15   20.65288917   20.65288917   28.50624475  100.65642910   42.17163306    6.51432692   25.16022447   74.59193004   84.59094021   38.65396988   30.76792445   27.83030825   19.12676250   19.12676250    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15 :=
    0    0.00000000    0.00000000    6.04466635    4.54391392    4.10528403    4.23177514    3.20897268    6.59514122    7.24744544    6.26699937    1.51775340    1.88051784    6.61282977    6.61282977    5.17142253    5.17142253
    1    0.00000000    0.00000000    6.04466635    4.54391392    4.10528403    4.23177514    3.20897268    6.59514122    7.24744544    6.26699937    1.51775340    1.88051784    6.61282977    6.61282977    5.17142253    5.17142253
    2    6.04466635    6.04466635    0.00000000    7.14658357    4.14691024    1.84879162    7.95459818   10.75685581    9.04643286    2.70218678    6.34049784    7.92512334    1.59074074    1.59074074    2.17247330    2.17247330
    3    4.54391392    4.54391392    7.14658357    0.00000000    3.01750183    6.08486263    7.65311391   10.97244685    2.70862451    5.47973397    3.06508508    5.09172972    6.62851034    6.62851034    7.67107019    7.67107019
    4    4.10528403    4.10528403    4.14691024    3.01750183    0.00000000    3.34519949    7.18485096   10.54293809    5.02238110    2.67649669    3.36567489    5.61698304    3.66194448    3.66194448    4.97622170    4.97622170
    5    4.23177514    4.23177514    1.84879162    6.08486263    3.34519949    0.00000000    6.15816030    9.09613362    8.35269105    3.31134967    4.69885154    6.10976169    2.87933396    2.87933396    1.63116825    1.63116825
    6    3.20897268    3.20897268    7.95459818    7.65311391    7.18485096    6.15816030    0.00000000    3.38832865   10.31676555    8.97441300    4.59279323    2.97016198    8.97146795    8.97146795    6.30004600    6.30004600
    7    6.59514122    6.59514122   10.75685581   10.97244685   10.54293809    9.09613362    3.38832865    0.00000000   13.59226350   12.15653948    7.93661147    6.01177793   11.97422628   11.97422628    8.80179291    8.80179291
    8    7.24744544    7.24744544    9.04643286    2.70862451    5.02238110    8.35269105   10.31676555   13.59226350    0.00000000    6.80991690    5.75318551    7.61940404    8.14093344    8.14093344    9.98166876    9.98166876
    9    6.26699937    6.26699937    2.70218678    5.47973397    2.67649669    3.31134967    8.97441300   12.15653948    6.80991690    0.00000000    5.89529634    8.00191370    1.36551135    1.36551135    4.56114003    4.56114003
   10    1.51775340    1.51775340    6.34049784    3.06508508    3.36567489    4.69885154    4.59279323    7.93661147    5.75318551    5.89529634    0.00000000    2.31591062    6.54281182    6.54281182    5.96810722    5.96810722
   11    1.88051784    1.88051784    7.92512334    5.09172972    5.61698304    6.10976169    2.97016198    6.01177793    7.61940404    8.00191370    2.31591062    0.00000000    8.44954303    8.44954303    6.96862710    6.96862710
   12    6.61282977    6.61282977    1.59074074    6.62851034    3.66194448    2.87933396    8.97146795   11.97422628    8.14093344    1.36551135    6.54281182    8.44954303    0.00000000    0.00000000    3.71005102    3.71005102
   13    6.61282977    6.61282977    1.59074074    6.62851034    3.66194448    2.87933396    8.97146795   11.97422628    8.14093344    1.36551135    6.54281182    8.44954303    0.00000000    0.00000000    3.71005102    3.71005102
   14    5.17142253    5.17142253    2.17247330    7.67107019    4.97622170    1.63116825    6.30004600    8.80179291    9.98166876    4.56114003    5.96810722    6.96862710    3.71005102    3.71005102    0.00000000    0.00000000
   15    5.17142253    5.17142253    2.17247330    7.67107019    4.97622170    1.63116825    6.30004600    8.80179291    9.98166876    4.56114003    5.96810722    6.96862710    3.71005102    3.71005102    0.00000000    0.00000000
;

