# AMPL data file for EVRP instance: C16R2
# Auto-generated by export_to_dat.py
# Nodes: 22 (depot_start + 16 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

set STATIONS := 18 19 20 21;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.063100
  3  0.057700
  4  0.122300
  5  0.069400
  6  0.059800
  7  0.103300
  8  0.117200
  9  0.101900
  10  0.114600
  11  0.087700
  12  0.105800
  13  0.081600
  14  0.118900
  15  0.098100
  16  0.062800
  17  0.095100
  18  0.000000
  19  0.000000
  20  0.000000
  21  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  18
  20  19
  21  19
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21 :=
   10   18.88953598   18.88953598  152.22455415   22.83053901   51.02988820    7.91010831   91.41101380   75.66013094  107.00085543   50.08235301    0.00000000   20.17744673    5.27875979    9.72230584  120.24253594   32.31331857  103.80333226   15.35309455   69.28454692   69.28454692   13.32950482   13.32950482
   11   45.68254102   45.68254102   94.66028715   36.35004725   54.02295544   16.05784383   40.48794977   92.19499394   16.49008545   22.71751437   20.17744673    0.00000000   53.12091145   46.49342488   40.44196274   18.56628858   28.44560099   62.22539683   21.35745428   21.35745428   16.27655875   16.27655875
   12   41.11585969   41.11585969   97.32565853   40.93329460   86.90192169   42.90188557   26.87363980   32.97473398   37.11240761   25.68893396    5.27875979   32.31516690    0.00000000   13.12267310  115.00272740  116.33609328   68.35557568   15.15116847   36.24866489   36.24866489   32.26740219   32.26740219
   13   59.28038010   59.28038010  117.83929271   31.83471021   31.13658334   14.36099979  122.71932295   45.34554461   44.66421509  102.17550810    9.72230584   21.90996239   16.93998816    0.00000000  151.97217274   80.55890079  132.20450458   27.18924653   37.29753004   37.29753004    5.80797959    5.80797959
   14   19.70193139   19.70193139   44.67957367   41.60938136   25.17205889   80.88438880   30.73560056   10.36062378   43.97899691   23.57341557  120.24253594   40.44196274  115.00272740   98.15201235    0.00000000   40.51533542   19.05759255   46.73216466   45.74336046   45.74336046  147.54459960  147.54459960
   15   65.63457620   65.63457620   64.16218455  141.26756015   12.57004697   88.32495044   81.37787467   79.21935675   14.03334039   14.46295097   41.71308923   23.96712211   75.13626645   49.00658240  103.12012197    0.00000000   54.71662506   92.93765527    9.03316885    9.03316885  108.76313397  108.76313397
   16   27.28540394   27.28540394   34.51895208   45.07634880   25.54111412   63.73041790   20.99438905   69.87372160   63.06443602   35.73692025   67.04191804   93.46088419   41.58290542   51.94243126   48.50561517   16.65346201    0.00000000   55.86933969   20.76688358   20.76688358   37.21865010   37.21865010
   17  100.05984767  100.05984767  188.83774330   42.26703116   46.31896113   57.01680097   38.55970640   57.31619944   54.34380500   45.80609965   15.35309455   96.34574503   38.56293734   27.18924653   46.73216466   56.53697874  142.19931942    0.00000000  143.61899479  143.61899479   45.67360991   45.67360991
   18   47.96951712   47.96951712  113.25657699   95.07374767   26.12701316   86.89273983   60.35600658   87.28941731    9.91496149   29.67685386   69.28454692   35.10820294   76.92046878   37.29753004   45.74336046    4.25686837   44.06778634   56.42712242    0.00000000    0.00000000  105.44632646  105.44632646
   19   47.96951712   47.96951712  113.25657699   95.07374767   26.12701316   86.89273983   60.35600658   87.28941731    9.91496149   29.67685386   69.28454692   35.10820294   76.92046878   37.29753004   45.74336046    4.25686837   44.06778634   56.42712242    0.00000000    0.00000000  105.44632646  105.44632646
   20   25.67457227   25.67457227  112.54041807   27.58526037   57.55790292    9.27614557   46.07647417  147.89502731   61.27987273   58.02463169   10.32578847   21.01132219   15.20596881   19.08270134   57.96947122   33.10296857   37.21865010   13.90114479   41.42928852   41.42928852    0.00000000    0.00000000
   21   25.67457227   25.67457227  112.54041807   27.58526037   57.55790292    9.27614557   46.07647417  147.89502731   61.27987273   58.02463169   10.32578847   21.01132219   15.20596881   19.08270134   57.96947122   33.10296857   37.21865010   13.90114479   41.42928852   41.42928852    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21 :=
    0    0.00000000    0.00000000    6.91013378    5.93027794    2.58716554    4.66981481    2.59112675    5.48890987    7.07756961    2.19687340    4.72988409    5.39050626    4.85164122    6.99504128    4.93330551    5.00203957    3.21965761    7.62560446    5.66036776    5.66036776    6.42883717    6.42883717
    1    0.00000000    0.00000000    6.91013378    5.93027794    2.58716554    4.66981481    2.59112675    5.48890987    7.07756961    2.19687340    4.72988409    5.39050626    4.85164122    6.99504128    4.93330551    5.00203957    3.21965761    7.62560446    5.66036776    5.66036776    6.42883717    6.42883717
    2    6.91013378    6.91013378    0.00000000   11.29387106    7.05308432   11.48744117    4.77841048    5.28857346   11.07204309    6.79098704   11.60109941   11.16984430   11.48435616   13.90494992    3.40504972    7.57109061    4.07321097   14.39140646    8.63133294    8.63133294   13.27968661   13.27968661
    3    5.93027794    5.93027794   11.29387106    0.00000000    8.34084392    6.29731391    6.67691503    6.89225051   11.90827298    8.02285154    4.42847892    9.10194462    3.11954416    6.17503349    8.07104327   10.76606213    8.74353691    4.98747861   11.21863234   11.21863234    6.90726783    6.90726783
    4    2.58716554    2.58716554    7.05308432    8.34084392    0.00000000    5.04592933    4.25237832    7.45452383    4.78326617    0.43714520    6.02148930    4.11711290    6.62283321    7.79650863    6.30300930    2.43823363    3.01383269    8.98456856    3.08296835    3.08296835    6.79179024    6.79179024
    5    4.66981481    4.66981481   11.48744117    6.29731391    5.04592933    0.00000000    7.21688751    9.71563461    6.27843882    5.07357264    1.98066779    3.11476759    3.26957134    2.78562783    9.54429842    6.73128285    7.52014247    4.34527517    6.62213345    6.62213345    1.79930991    1.79930991
    6    2.59112675    2.59112675    4.77841048    6.67691503    4.25237832    7.21688751    0.00000000    3.20448817    9.03541326    3.82311903    6.96647307    7.85351725    6.72908014    9.35249292    2.34237347    6.20184318    2.47732248    9.65523675    7.12196441    7.12196441    8.93753294    8.93753294
    7    5.48890987    5.48890987    5.28857346    6.89225051    7.45452383    9.71563461    3.20448817    0.00000000   12.23771698    7.02319571    8.92783984   10.87894152    8.25677613   11.35439062    2.00966801    9.34782586    5.32510668   11.11772178   10.30008708   10.30008708   11.27114428   11.27114428
    8    7.07756961    7.07756961   11.07204309   11.90827298    4.78326617    6.27843882    9.03541326   12.23771698    0.00000000    5.21491678    8.15458168    3.19861024    9.29283740    8.66359462   11.01221111    3.51390704    7.44155709   10.54116132    2.48267711    2.48267711    7.23097994    7.23097994
    9    2.19687340    2.19687340    6.79098704    8.02285154    0.43714520    5.07357264    3.82311903    7.02319571    5.21491678    0.00000000    5.90968084    4.40655533    6.43243329    7.78683986    5.90271373    2.80540347    2.72352622    8.88508793    3.50184694    3.50184694    6.84686389    6.84686389
   10    4.72988409    4.72988409   11.60109941    4.42847892    6.02148930    1.98066779    6.96647307    8.92783984    8.15458168    5.90968084    0.00000000    5.05237315    1.32178588    2.43443671    9.16373590    8.09115966    7.91089705    2.97806616    8.17552561    8.17552561    2.58554698    2.58554698
   11    5.39050626    5.39050626   11.16984430    9.10194462    4.11711290    3.11476759    7.85351725   10.87894152    3.19861024    4.40655533    5.05237315    0.00000000    6.26822850    5.48618996   10.12654818    4.64894390    7.12269459    7.34255109    4.14274214    4.14274214    4.07560230    4.07560230
   12    4.85164122    4.85164122   11.48435616    3.11954416    6.62283321    3.26957134    6.72908014    8.25677613    9.29283740    6.43243329    1.32178588    6.26822850    0.00000000    3.28587864    8.76440782    8.86602421    8.06590768    2.93889821    9.07655877    9.07655877    3.80752974    3.80752974
   13    6.99504128    6.99504128   13.90494992    6.17503349    7.79650863    2.78562783    9.35249292   11.35439062    8.66359462    7.78683986    2.43443671    5.48618996    3.28587864    0.00000000   11.58186531    9.50589108   10.07536273    2.07210429    9.33919151    9.33919151    1.45430096    1.45430096
   14    4.93330551    4.93330551    3.40504972    8.07104327    6.30300930    9.54429842    2.34237347    2.00966801   11.01221111    5.90271373    9.16373590   10.12654818    8.76440782   11.58186531    0.00000000    7.85882930    3.69663401   11.70159619    8.87291830    8.87291830   11.24443804   11.24443804
   15    5.00203957    5.00203957    7.57109061   10.76606213    2.43823363    6.73128285    6.20184318    9.34782586    3.51390704    2.80540347    8.09115966    4.64894390    8.86602421    9.50589108    7.85882930    0.00000000    4.16997777   10.96657501    1.06590728    1.06590728    8.28888569    8.28888569
   16    3.21965761    3.21965761    4.07321097    8.74353691    3.01383269    7.52014247    2.47732248    5.32510668    7.44155709    2.72352622    7.91089705    7.12269459    8.06590768   10.07536273    3.69663401    4.16997777    0.00000000   10.83707191    5.19996640    5.19996640    9.31944021    9.31944021
   17    7.62560446    7.62560446   14.39140646    4.98747861    8.98456856    4.34527517    9.65523675   11.11772178   10.54116132    8.88508793    2.97806616    7.34255109    2.93889821    2.07210429   11.70159619   10.96657501   10.83707191    0.00000000   10.94526599   10.94526599    3.48080565    3.48080565
   18    5.66036776    5.66036776    8.63133294   11.21863234    3.08296835    6.62213345    7.12196441   10.30008708    2.48267711    3.50184694    8.17552561    4.14274214    9.07655877    9.33919151    8.87291830    1.06590728    5.19996640   10.94526599    0.00000000    0.00000000    8.03611035    8.03611035
   19    5.66036776    5.66036776    8.63133294   11.21863234    3.08296835    6.62213345    7.12196441   10.30008708    2.48267711    3.50184694    8.17552561    4.14274214    9.07655877    9.33919151    8.87291830    1.06590728    5.19996640   10.94526599    0.00000000    0.00000000    8.03611035    8.03611035
   20    6.42883717    6.42883717   13.27968661    6.90726783    6.79179024    1.79930991    8.93753294   11.27114428    7.23097994    6.84686389    2.58554698    4.07560230    3.80752974    1.45430096   11.24443804    8.28888569    9.31944021    3.48080565    8.03611035    8.03611035    0.00000000    0.00000000
   21    6.42883717    6.42883717   13.27968661    6.90726783    6.79179024    1.79930991    8.93753294   11.27114428    7.23097994    6.84686389    2.58554698    4.07560230    3.80752974    1.45430096   11.24443804    8.28888569    9.31944021    3.48080565    8.03611035    8.03611035    0.00000000    0.00000000
;

