# AMPL data file for EVRP instance: C19R2
# Auto-generated by export_to_dat.py
# Nodes: 25 (depot_start + 19 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set STATIONS := 21 22 23 24;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.050900
  3  0.136700
  4  0.054600
  5  0.117100
  6  0.136800
  7  0.069100
  8  0.120300
  9  0.086900
  10  0.119900
  11  0.113100
  12  0.146200
  13  0.115200
  14  0.087600
  15  0.086700
  16  0.134300
  17  0.064700
  18  0.093300
  19  0.058100
  20  0.122700
  21  0.000000
  22  0.000000
  23  0.000000
  24  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  21
  23  22
  24  22
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24 :=
   13   64.37608256   64.37608256   53.49069512   13.79745316   30.65543025    1.70223961   36.42725046  131.78932479   85.39354156   36.92876751   24.64225774   42.93837596   51.88677555    0.00000000   32.41200483   57.39000226   36.41249995   37.98735442   58.91582910   63.49635737   52.24276375   19.87078652   19.87078652   22.02390819   22.02390819
   14   23.94538580   23.94538580   14.35928516   27.68841668   98.70069274   83.52315658   54.88283703   19.86255876   83.32075317   78.55677826   54.65774908  112.26605381   37.06678193   82.49542690    0.00000000   36.60310797   13.95650170   21.73820532   93.04865856   18.94931560   66.21279391   12.64032927   12.64032927   63.74622672   63.74622672
   15    8.46887772    8.46887772   31.33043814   74.06687785    4.75531664   28.33617511   30.97787769   88.77222683   33.59322953   13.17234316   52.70675564   47.31372979   13.39535082   57.39000226   36.60310797    0.00000000   36.42740688   51.22065150   26.95857062   17.35111805   57.95862651   61.44373538   61.44373538   11.65170213   11.65170213
   16   67.82936032   67.82936032   14.54416459   47.91595575   92.53543246   37.04633411   39.56741959   21.51972690   42.79618652   43.56580878   70.22321267   39.00734889  113.35422408   77.26813040   45.85549060   59.88076934    0.00000000   37.78900407   51.59567064   31.68356581   14.31832679   27.48186545   27.48186545   21.40973328   21.40973328
   17   24.58406790   24.58406790   15.75851725    8.55305522   19.14918854   12.82311885   83.48419355   66.90299778   61.68956973   84.26497110    4.04161311   16.89127118    7.43328073   37.98735442   46.12895256   15.58943325   37.78900407    0.00000000   35.65230236   64.23254597   41.16308615   29.95059138   29.95059138   36.02171762   36.02171762
   18   61.43135983   61.43135983   20.43304109  145.23803631   52.80573675   98.87188127   16.03654387   19.47477465   55.19868915   35.34258360   49.78806171   52.82984569   80.94420599   45.63953401   28.32013668   57.20668321   15.70357345   35.65230236    0.00000000   34.21202802   19.15712475   39.47599806   39.47599806   32.20571839   32.20571839
   19    5.80506351    5.80506351   11.66600175   92.33271294   43.53247980   65.70428197    9.56440076   29.24482938   37.07873374   63.23523620   22.46712796   25.80465371   73.42790017   98.31361742   40.21086690   44.16227561   14.93083672   25.23661818   16.12237105    0.00000000   29.91937130   20.15885349   20.15885349    8.86774878    8.86774878
   20   40.27857376   40.27857376   34.29814415   40.21195698   34.05492454   87.54786882   31.73167739    0.36130223   42.81241936  101.42914257   75.07335527   39.81269711   35.98361758   40.47020010   42.76387478   27.31292286   22.16956312   67.66546066   29.66164221   29.91937130    0.00000000   82.39378770   82.39378770   47.46060692   47.46060692
   21   58.81061722   58.81061722   33.95460129   15.96176798   21.43952589   16.20331656   22.81144403   52.45250594   88.64950926   36.95821177   43.20911862   71.17379325   16.12642926   15.39303530   41.53107366   39.68375371   69.94717649   11.76742456   30.58034120   20.15885349   53.21445316    0.00000000    0.00000000   21.66042250   21.66042250
   22   58.81061722   58.81061722   33.95460129   15.96176798   21.43952589   16.20331656   22.81144403   52.45250594   88.64950926   36.95821177   43.20911862   71.17379325   16.12642926   15.39303530   41.53107366   39.68375371   69.94717649   11.76742456   30.58034120   20.15885349   53.21445316    0.00000000    0.00000000   21.66042250   21.66042250
   23   27.47795617   27.47795617   14.62458048   63.90846621   14.62064591   76.15658954   14.47189443   46.73063096   21.47335241   18.53581555   44.75270919   57.98943949   13.63028962   46.73522039   25.04554599   29.65605325   27.63770959   23.26481229   32.20571839   11.44732923   47.46060692   10.20744425   10.20744425    0.00000000    0.00000000
   24   27.47795617   27.47795617   14.62458048   63.90846621   14.62064591   76.15658954   14.47189443   46.73063096   21.47335241   18.53581555   44.75270919   57.98943949   13.63028962   46.73522039   25.04554599   29.65605325   27.63770959   23.26481229   32.20571839   11.44732923   47.46060692   10.20744425   10.20744425    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24 :=
    0    0.00000000    0.00000000    2.40932468    6.83742634    1.88958421    7.89031212    1.68092377    4.68292758    6.07658729    3.37822178    5.27678109    5.56799420    4.96809239    7.59633042    5.99585398    2.12058200    5.16930502    4.76861393    4.68171062    1.45357078    4.75284210    4.48198269    4.48198269    2.09410698    2.09410698
    1    0.00000000    0.00000000    2.40932468    6.83742634    1.88958421    7.89031212    1.68092377    4.68292758    6.07658729    3.37822178    5.27678109    5.56799420    4.96809239    7.59633042    5.99585398    2.12058200    5.16930502    4.76861393    4.68171062    1.45357078    4.75284210    4.48198269    4.48198269    2.09410698    2.09410698
    2    2.40932468    2.40932468    0.00000000    6.05588675    3.97677884    6.55117235    3.23013566    3.95772729    7.10053978    5.68730523    4.81227856    6.12598381    5.03204987    6.31186270    3.59552265    3.69696867    3.64181592    3.94588624    5.11637322    1.37657963    4.04715580    2.58769492    2.58769492    1.72568975    1.72568975
    3    6.83742634    6.83742634    6.05588675    0.00000000    6.56686509    1.92357398    8.46622759    9.97859593    4.89294494    7.99453890    1.62883168    3.47138636    2.49887489    1.62808933    6.93309787    5.64466894    9.29434035    2.14165980   11.06865384    7.03671617   10.06895542    3.99677962    3.99677962    4.87049197    4.87049197
    4    1.88958421    1.88958421    3.97677884    6.56686509    0.00000000    7.99753871    3.12635916    6.53964771    4.53489015    1.80533388    4.93876359    4.39342431    4.26100658    7.67602931    7.52202267    0.92239695    7.05216551    4.79490033    6.23103812    3.31762920    6.60569229    5.36839405    5.36839405    2.83599183    2.83599183
    5    7.89031212    7.89031212    6.55117235    1.92357398    7.99753871    0.00000000    9.40138440   10.24097920    6.81373816    9.57438783    3.23773559    5.37910332    4.28132986    0.33018634    6.36533605    7.09529467    9.27629279    3.21087114   11.66680931    7.75305697   10.33058417    4.05726267    4.05726267    5.80392677    5.80392677
    6    1.68092377    1.68092377    3.23013566    8.46622759    3.12635916    9.40138440    0.00000000    3.69634193    7.60086969    3.99699868    6.93204520    7.20822273    6.64898574    9.12127607    6.47613443    3.65536680    4.66892643    6.36236666    3.11063600    1.85522327    3.74431461    5.71191830    5.71191830    3.62371968    3.62371968
    7    4.68292758    4.68292758    3.95772729    9.97859593    6.53964771   10.24097920    3.69634193    0.00000000   10.64171287    7.67736797    8.76937303    9.88563215    8.92347702   10.04372170    4.97352613    6.76536997    1.64002774    7.89450456    2.29800909    3.45086837    0.09046901    6.18935714    6.18935714    5.51418010    5.51418010
    8    6.07658729    6.07658729    7.10053978    4.89294494    4.53489015    6.81373816    7.60086969   10.64171287    0.00000000    4.86745565    3.91787176    1.47624280    2.85302323    6.50787890    9.83178763    3.96397639   10.71603888    4.70138891   10.70698467    7.19222576   10.72010353    6.75601761    6.75601761    5.37686411    5.37686411
    9    3.37822178    3.37822178    5.68730523    7.99453890    1.80533388    9.57438783    3.99699868    7.67736797    4.86745565    0.00000000    6.39816362    5.25271565    5.54285175    9.24685446    9.26964209    2.55506206    8.45053486    6.42187006    6.85546173    4.81918482    7.72995902    7.16884790    7.16884790    4.64131354    4.64131354
   10    5.27678109    5.27678109    4.81227856    1.62883168    4.93876359    3.23773559    6.93204520    8.76937303    3.91787176    6.39816362    0.00000000    2.44746429    1.10617658    2.90776830    6.44957421    4.01680475    8.28628748    1.01200800    9.65747596    5.62570257    8.85860074    3.29298570    3.29298570    3.41062341    3.41062341
   11    5.56799420    5.56799420    6.12598381    3.47138636    4.39342431    5.37910332    7.20822273    9.88563215    1.47624280    5.25271565    2.44746429    0.00000000    1.41525471    5.06669680    8.55584473    3.60579990    9.76732511    3.27642892   10.24749603    6.46140918    9.96898193    5.42418571    5.42418571    4.41940038    4.41940038
   12    4.96809239    4.96809239    5.03204987    2.49887489    4.26100658    4.28132986    6.64898574    8.92347702    2.85302323    5.54285175    1.10617658    1.41525471    0.00000000    3.95431371    7.18990744    3.35415634    8.63877466    1.86127157    9.55135681    5.59597217    9.01019171    4.03801032    4.03801032    3.41298432    3.41298432
   13    7.59633042    7.59633042    6.31186270    1.62808933    7.67602931    0.33018634    9.12127607   10.04372170    6.50787890    9.24685446    2.90776830    5.06669680    3.95431371    0.00000000    6.28701232    6.77197808    9.11758259    2.89503278   11.42800470    7.49252350   10.13361874    3.85437064    3.85437064    5.51472165    5.51472165
   14    5.99585398    5.99585398    3.59552265    6.93309787    7.52202267    6.36533605    6.47613443    4.97352613    9.83178763    9.26964209    6.44957421    8.55584473    7.18990744    6.28701232    0.00000000    7.09996781    3.49466686    5.44318249    7.09127869    4.74485274    5.04610579    3.16510117    3.16510117    4.85812763    4.85812763
   15    2.12058200    2.12058200    3.69696867    5.64466894    0.92239695    7.09529467    3.65536680    6.76536997    3.96397639    2.55506206    4.01680475    3.60579990    3.35415634    6.77197808    7.09996781    0.00000000    7.06588676    3.90354810    6.75034657    3.36562621    6.83907532    4.68265377    4.68265377    2.26010070    2.26010070
   16    5.16930502    5.16930502    3.64181592    9.29434035    7.05216551    9.27629279    4.66892643    1.64002774   10.71603888    8.45053486    8.28628748    9.76732511    8.63877466    9.11758259    3.49466686    7.06588676    0.00000000    7.32999811    3.93212847    3.73863748    1.68955204    5.33070471    5.33070471    5.36093406    5.36093406
   17    4.76861393    4.76861393    3.94588624    2.14165980    4.79490033    3.21087114    6.36236666    7.89450456    4.70138891    6.42187006    1.01200800    3.27642892    1.86127157    2.89503278    5.44318249    3.90354810    7.32999811    0.00000000    8.92723135    4.89519023    7.98447462    2.28254758    2.28254758    2.74523075    2.74523075
   18    4.68171062    4.68171062    5.11637322   11.06865384    6.23103812   11.66680931    3.11063600    2.29800909   10.70698467    6.85546173    9.65747596   10.24749603    9.55135681   11.42800470    7.09127869    6.75034657    3.93212847    8.92723135    0.00000000    4.03699416    2.26052664    7.65722724    7.65722724    6.24699859    6.24699859
   19    1.45357078    1.45357078    1.37657963    7.03671617    3.31762920    7.75305697    1.85522327    3.45086837    7.19222576    4.81918482    5.62570257    6.46140918    5.59597217    7.49252350    4.74485274    3.36562621    3.73863748    4.89519023    4.03699416    0.00000000    3.53046382    3.91024748    3.91024748    2.22045814    2.22045814
   20    4.75284210    4.75284210    4.04715580   10.06895542    6.60569229   10.33058417    3.74431461    0.09046901   10.72010353    7.72995902    8.85860074    9.96898193    9.01019171   10.13361874    5.04610579    6.83907532    1.68955204    7.98447462    2.26052664    3.53046382    0.00000000    6.27926636    6.27926636    5.60031673    5.60031673
   21    4.48198269    4.48198269    2.58769492    3.99677962    5.36839405    4.05726267    5.71191830    6.18935714    6.75601761    7.16884790    3.29298570    5.42418571    4.03801032    3.85437064    3.16510117    4.68265377    5.33070471    2.28254758    7.65722724    3.91024748    6.27926636    0.00000000    0.00000000    2.55591393    2.55591393
   22    4.48198269    4.48198269    2.58769492    3.99677962    5.36839405    4.05726267    5.71191830    6.18935714    6.75601761    7.16884790    3.29298570    5.42418571    4.03801032    3.85437064    3.16510117    4.68265377    5.33070471    2.28254758    7.65722724    3.91024748    6.27926636    0.00000000    0.00000000    2.55591393    2.55591393
   23    2.09410698    2.09410698    1.72568975    4.87049197    2.83599183    5.80392677    3.62371968    5.51418010    5.37686411    4.64131354    3.41062341    4.41940038    3.41298432    5.51472165    4.85812763    2.26010070    5.36093406    2.74523075    6.24699859    2.22045814    5.60031673    2.55591393    2.55591393    0.00000000    0.00000000
   24    2.09410698    2.09410698    1.72568975    4.87049197    2.83599183    5.80392677    3.62371968    5.51418010    5.37686411    4.64131354    3.41062341    4.41940038    3.41298432    5.51472165    4.85812763    2.26010070    5.36093406    2.74523075    6.24699859    2.22045814    5.60031673    2.55591393    2.55591393    0.00000000    0.00000000
;

