# AMPL data file for EVRP instance: C22R2
# Auto-generated by export_to_dat.py
# Nodes: 28 (depot_start + 22 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23;

set STATIONS := 24 25 26 27;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.129500
  3  0.124100
  4  0.149600
  5  0.092100
  6  0.127900
  7  0.099000
  8  0.075100
  9  0.076400
  10  0.120000
  11  0.060900
  12  0.120700
  13  0.074700
  14  0.071000
  15  0.051100
  16  0.096900
  17  0.124700
  18  0.107300
  19  0.071500
  20  0.099600
  21  0.149000
  22  0.114500
  23  0.094000
  24  0.000000
  25  0.000000
  26  0.000000
  27  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  23
  24  24
  25  24
  26  25
  27  25
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27 :=
    3    5.91648975    5.91648975    8.83417021    0.00000000    2.04816055    7.23943174    4.43588414    5.49796407    6.77674858   10.07937871    6.88120049    6.19017859    6.20495861    3.23468710    4.79116425    8.99135312    3.94175465    4.13150349    2.05820658    4.81645883    9.45199179   12.77717833    4.26592311    1.68573077    3.03541553    3.03541553    7.91644031    7.91644031
    4    5.43751753    5.43751753    7.07089457    2.04816055    0.00000000    7.38122008    2.68346989    6.05790082    4.73452681    9.47027058    5.05343799    4.14846187    6.54562300    1.28394442    2.95483434    8.99837500    5.11934261    4.86591619    0.21053456    4.58535759   10.09059910   11.99332651    2.77634240    1.42551370    2.31653735    2.31653735    5.86893084    5.86893084
    5    2.56378768    2.56378768    8.02206660    7.23943174    7.38122008    0.00000000    6.51035542    2.05392895    9.22508300    3.98670317    7.40743954    9.49365452    1.15738638    8.27317470    6.84220292    1.78006973    4.17571575    3.32149306    7.58715452    2.85682624    3.24088144    6.70914021    5.78797239    6.10009901    5.11436523    5.11436523   10.21744314   10.21744314
    6    4.04711929    4.04711929    4.41553652    4.43588414    2.68346989    6.51035542    0.00000000    5.92631064    3.00538697    7.51778156    2.44642988    3.02231492    6.04769051    2.54082968    0.44082043    7.80365220    5.94446772    5.20654408    2.82691329    3.75938061    9.63807757    9.78623671    0.73134596    2.91121230    2.17712818    2.17712818    4.16165983    4.16165983
    7    2.90748231    2.90748231    8.55111075    5.49796407    6.05790082    2.05392895    5.92631064    0.00000000    8.88541043    5.88692364    7.45729851    8.93328574    0.89991964    7.13675659    6.33100553    3.79675353    2.12289423    1.38094244    6.24833725    2.29833159    4.03907516    8.66841988    5.20707346    4.66049896    4.03703067    4.03703067    9.99047958    9.99047958
    8    6.66633354    6.66633354    3.74856181    6.77674858    4.73452681    9.22508300    3.00538697    8.88541043    0.00000000    9.29223500    2.26003377    1.01820843    8.92007561    3.73614270    2.57552529   10.27764629    8.92917849    8.21192496    4.75905469    6.64577904   12.43631922   11.01749881    3.69314132    5.58924237    5.15620441    5.15620441    1.18032613    1.18032613
    9    4.16336357    4.16336357    6.57879132   10.07937871    9.47027058    3.98670317    7.51778156    5.88692364    9.29223500    0.00000000    7.05567645    9.94001213    5.02033052    9.92369874    7.64788097    2.95795585    7.90772686    6.88382913    9.67683784    5.28677235    5.95378357    2.80403439    6.97755352    8.55979378    7.23880501    7.23880501    9.94216007    9.94216007
   10    4.86701146    4.86701146    2.04010425    6.88120049    5.05343799    7.40743954    2.44642988    7.45729851    2.26003377    7.05567645    0.00000000    3.05943837    7.30697926    4.55419726    2.10473106    8.25642321    7.98767523    7.08543119    5.16769254    5.15964842   10.64829056    8.76982330    2.78525666    5.34002664    4.39894323    4.39894323    2.93343404    2.93343404
   11    6.97364707    6.97364707    4.72765705    6.19017859    4.14846187    9.49365452    3.02231492    8.93328574    1.01820843    9.94001213    3.05943837    0.00000000    9.06936652    3.00867277    2.65546149   10.68042446    8.73417846    8.12097525    4.13413821    6.78044814   12.65162428   11.81209641    3.75301589    5.19612688    5.01364331    5.01364331    1.82970964    1.82970964
   12    2.51083763    2.51083763    8.20512214    6.20495861    6.54562300    1.15738638    6.04769051    0.89991964    8.92007561    5.02033052    7.30697926    9.06936652    0.00000000    7.53733207    6.42294707    2.91906171    3.01891960    2.18657790    6.74529617    2.28919828    3.62149872    7.78887219    5.31653926    5.19788539    4.37373385    4.37373385    9.98057350    9.98057350
   13    6.09871776    6.09871776    6.59079058    3.23468710    1.28394442    8.27317470    2.54082968    7.13675659    3.73614270    9.92369874    4.55419726    3.00867277    7.53733207    0.00000000    2.62444111    9.79629491    6.36187987    6.02439784    1.19837977    5.42061392   11.13478360   12.29242554    2.95440840    2.64014601    3.16981690    3.16981690    4.80333997    4.80333997
   14    4.34157561    4.34157561    4.11627320    4.79116425    2.95483434    6.84220292    0.44082043    6.33100553    2.57552529    7.64788097    2.10473106    2.65546149    6.42294707    2.62444111    0.00000000    8.08091892    6.38448496    5.63846243    3.07824653    4.13415647    9.99681995    9.83094792    1.12425457    3.31166608    2.61794861    2.61794861    3.72562206    3.72562206
   15    3.76116346    3.76116346    8.45825040    8.99135312    8.99837500    1.78006973    7.80365220    3.79675353   10.27764629    2.95795585    8.25642321   10.68042446    2.91906171    9.79629491    8.08091892    0.00000000    5.91485902    5.09876377    9.20740053    4.41344943    3.03037730    5.37082797    7.11302582    7.77817509    6.69202363    6.69202363   11.16773287   11.16773287
   16    4.33238754    4.33238754    9.45972559    3.94175465    5.11934261    4.17571575    5.94446772    2.12289423    8.92917849    7.90772686    7.98767523    8.73417846    3.01891960    6.36187987    6.38448496    5.91485902    0.00000000    1.10106534    5.26943672    3.27538233    5.63948468   10.70818947    5.32641491    3.72201985    3.77357039    3.77357039   10.09888054   10.09888054
   17    3.23152300    3.23152300    8.45984462    4.13150349    4.86591619    3.32149306    5.20654408    1.38094244    8.21192496    6.88382913    7.08543119    8.12097525    2.18657790    6.02439784    5.63846243    5.09876377    1.10106534    0.00000000    5.04375097    2.19433603    5.33978325    9.68785135    4.53650262    3.44250175    3.10848806    3.10848806    9.36252069    9.36252069
   18    5.64777828    5.64777828    7.19305329    2.05820658    0.21053456    7.58715452    2.82691329    6.24833725    4.75905469    9.67683784    5.16769254    4.13413821    6.74529617    1.19837977    3.07824653    9.20740053    5.26943672    5.04375097    0.00000000    4.79464477   10.28329299   12.19390024    2.95437189    1.60132832    2.52691371    2.52691371    5.87961578    5.87961578
   19    1.18024094    1.18024094    6.33954861    4.81645883    4.58535759    2.85682624    3.75938061    2.29833159    6.64577904    5.28677235    5.15964842    6.78044814    2.28919828    5.42061392    4.13415647    4.41344943    3.27538233    2.19433603    4.79464477    0.00000000    5.88599266    8.03534975    3.02806507    3.41346502    2.28066737    2.28066737    7.72618035    7.72618035
   20    5.79693532    5.79693532   11.18606641    9.45199179   10.09059910    3.24088144    9.63807757    4.03907516   12.43631922    5.95378357   10.64829056   12.65162428    3.62149872   11.13478360    9.99681995    3.03037730    5.63948468    5.33978325   10.28329299    5.88599266    0.00000000    8.08335285    8.90738269    8.69916036    7.98417038    7.98417038   13.44803516   13.44803516
   21    6.88000178    6.88000178    7.68516871   12.77717833   11.99332651    6.70914021    9.78623671    8.66841988   11.01749881    2.80403439    8.76982330   11.81209641    7.78887219   12.29242554    9.83094792    5.37082797   10.70818947    9.68785135   12.19390024    8.03534975    8.08335285    0.00000000    9.34844043   11.20376105    9.85091828    9.85091828   11.43520912   11.43520912
   22    3.35191104    3.35191104    4.61042094    4.26592311    2.77634240    5.78797239    0.73134596    5.20707346    3.69314132    6.97755352    2.78525666    3.75301589    5.31653926    2.95440840    1.12425457    7.11302582    5.32641491    4.53650262    2.95437189    3.02806507    8.90738269    9.34844043    0.00000000    2.62848142    1.62160292    1.62160292    4.82976631    4.82976631
   23    4.41459946    4.41459946    7.23413187    1.68573077    1.42551370    6.10009901    2.91121230    4.66049896    5.58924237    8.55979378    5.34002664    5.19612688    5.19788539    2.64014601    3.31166608    7.77817509    3.72201985    3.44250175    1.60132832    3.41346502    8.69916036   11.20376105    2.62848142    0.00000000    1.37130410    1.37130410    6.76560728    6.76560728
   24    3.13818195    3.13818195    6.14614888    3.03541553    2.31653735    5.11436523    2.17712818    4.03703067    5.15620441    7.23880501    4.39894323    5.01364331    4.37373385    3.16981690    2.61794861    6.69202363    3.77357039    3.10848806    2.52691371    2.28066737    7.98417038    9.85091828    1.62160292    1.37130410    0.00000000    0.00000000    6.32534057    6.32534057
   25    3.13818195    3.13818195    6.14614888    3.03541553    2.31653735    5.11436523    2.17712818    4.03703067    5.15620441    7.23880501    4.39894323    5.01364331    4.37373385    3.16981690    2.61794861    6.69202363    3.77357039    3.10848806    2.52691371    2.28066737    7.98417038    9.85091828    1.62160292    1.37130410    0.00000000    0.00000000    6.32534057    6.32534057
   26    7.65392319    7.65392319    3.84055811    7.91644031    5.86893084   10.21744314    4.16165983    9.99047958    1.18032613    9.94216007    2.93343404    1.82970964    9.98057350    4.80333997    3.72562206   11.16773287   10.09888054    9.36252069    5.87961578    7.72618035   13.44803516   11.43520912    4.82976631    6.76560728    6.32534057    6.32534057    0.00000000    0.00000000
   27    7.65392319    7.65392319    3.84055811    7.91644031    5.86893084   10.21744314    4.16165983    9.99047958    1.18032613    9.94216007    2.93343404    1.82970964    9.98057350    4.80333997    3.72562206   11.16773287   10.09888054    9.36252069    5.87961578    7.72618035   13.44803516   11.43520912    4.82976631    6.76560728    6.32534057    6.32534057    0.00000000    0.00000000
;

