# AMPL data file for EVRP instance: C15R2
# Auto-generated by export_to_dat.py
# Nodes: 21 (depot_start + 15 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;

set STATIONS := 17 18 19 20;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.133000
  3  0.109200
  4  0.053700
  5  0.060600
  6  0.121100
  7  0.052100
  8  0.131800
  9  0.122000
  10  0.058000
  11  0.067400
  12  0.096900
  13  0.147200
  14  0.088600
  15  0.132100
  16  0.053000
  17  0.000000
  18  0.000000
  19  0.000000
  20  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  17
  19  18
  20  18
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20 :=
   10   49.29645284   49.29645284   25.36189565   82.36450323    9.04293225   91.71177962  119.41097872   40.01285728   40.54648543   23.32658901    0.00000000   29.64692849   29.26372109   29.02402602   59.84976434   59.49191129  132.07947159   33.79758773   33.79758773   11.33348830   11.33348830
   11   20.85337629   20.85337629   84.06424763   52.66954915   27.83204422   25.89575689   15.29682898    7.06883523   30.81880359   66.14333114   38.27106061    0.00000000   34.18731268   66.31714776   14.92741033   38.80825697   22.56624036   26.69433181   26.69433181  112.99820741  112.99820741
   12   20.43170455   20.43170455  145.92795335  108.43594036   26.19674488   98.81830363   30.30795509   44.04554397   41.69570842   40.12279124   74.48237701  112.32585567    0.00000000   14.52761584   25.51433319   34.67609619   88.96821763   46.92346078   46.92346078   28.12119444   28.12119444
   13   10.74759935   10.74759935   76.51995145   25.07791941   26.35864579   48.66349316   54.80564919   42.11661156   15.61785391   41.30631768   29.02402602   42.83127225   30.82792219    0.00000000   10.24468176   85.13676882   35.37087898   13.93699222   13.93699222   65.44511050   65.44511050
   14   11.65768976   11.65768976   92.49591054   67.71606414   28.90717167   63.15787460   23.40215574   50.47939588   65.79489948    9.32501940   59.84976434   14.92741033   64.93938957   16.84060102    0.00000000   18.02355760   51.39740294   12.23302744   12.23302744   19.94357717   19.94357717
   15   19.81814834   19.81814834   33.38524608   33.01162238   20.23532956   25.47155086   40.56631101   43.18403896   80.45231275   20.36203435   18.10686027   23.60831671   73.58344320   25.91208693   23.26651362    0.00000000   28.18203602   21.34003898   21.34003898   35.92113301   35.92113301
   16   85.93463261   85.93463261   33.87072367   17.94638745   68.31576631   71.19921260   32.01709820    9.22319456   35.74931060   30.29014270   40.19949074   10.63430967   88.96821763   27.40028374   51.39740294   28.18203602    0.00000000   63.01947000   63.01947000   56.98399544   56.98399544
   17   20.56074141   20.56074141  103.27669266   51.70566773   18.68445124   33.34004582   21.69278738   44.62212666   22.10803454    6.36964078   20.56016470   26.69433181   18.43597269   13.93699222   12.23302744   27.54774160   29.69783838    0.00000000    0.00000000   48.79855645   48.79855645
   18   20.56074141   20.56074141  103.27669266   51.70566773   18.68445124   33.34004582   21.69278738   44.62212666   22.10803454    6.36964078   20.56016470   26.69433181   18.43597269   13.93699222   12.23302744   27.54774160   29.69783838    0.00000000    0.00000000   48.79855645   48.79855645
   19   18.24564135   18.24564135   76.84925538   50.40099219   38.83852653   82.08377498  119.35756424   45.36272182   31.82849903   18.70722556   24.04991288   44.39638150   28.12119444   19.91876619   19.94357717   59.04853693   93.67247848   19.17268759   19.17268759    0.00000000    0.00000000
   20   18.24564135   18.24564135   76.84925538   50.40099219   38.83852653   82.08377498  119.35756424   45.36272182   31.82849903   18.70722556   24.04991288   44.39638150   28.12119444   19.91876619   19.94357717   59.04853693   93.67247848   19.17268759   19.17268759    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20 :=
    0    0.00000000    0.00000000    6.38724138    5.97506825    2.52910424    6.83544878    5.37359656    4.25935151    5.65767827    1.05215561    3.75690409    4.04496526    5.11603856    2.69116718    0.88843760    3.84416032    6.54911569    1.56694304    1.56694304    4.56865478    4.56865478
    1    0.00000000    0.00000000    6.38724138    5.97506825    2.52910424    6.83544878    5.37359656    4.25935151    5.65767827    1.05215561    3.75690409    4.04496526    5.11603856    2.69116718    0.88843760    3.84416032    6.54911569    1.56694304    1.56694304    4.56865478    4.56865478
    2    6.38724138    6.38724138    0.00000000   10.35723565    4.60170749    0.65919832   10.04973349    6.94516406   12.03749009    6.41998985    6.35054387    6.40657283   11.12123272    9.02929802    7.04915353    2.54430411    8.48112930    7.87076162    7.87076162    9.06815565    9.06815565
    3    5.97506825    5.97506825   10.35723565    0.00000000    8.26488110   10.47881632    0.68778478    3.49444172    6.01399281    6.96842630    9.71895084    4.01396922    8.26395012    4.86440716    5.16067067    8.26601288    3.48109164    6.10123078    6.10123078    9.77636714    9.77636714
    4    2.52910424    2.52910424    4.60170749    8.26488110    0.00000000    5.18166328    7.72006511    5.80079310    7.91123171    2.03297894    2.26432356    5.39862949    6.55958765    5.11283186    3.41102501    2.38775401    8.06121021    3.62425514    3.62425514    4.58291758    4.58291758
    5    6.83544878    6.83544878    0.65919832   10.47881632    5.18166328    0.00000000   10.21045777    7.01910063   12.46124871    6.93878109    6.98939457    6.48422114   11.66048719    9.43934147    7.45258278    3.00562428    8.40145475    8.34824914    8.34824914    9.68582511    9.68582511
    6    5.37359656    5.37359656   10.04973349    0.68778478    7.72006511   10.21045777    0.00000000    3.34525425    5.42234201    6.34784221    9.10036257    3.83028086    7.58902256    4.17676234    4.53935640    7.86871712    3.77799405    5.43180998    5.43180998    9.09629183    9.09629183
    7    4.25935151    4.25935151    6.94516406    3.49444172    5.80079310    7.01910063    3.34525425    0.00000000    7.50238089    5.28538501    7.76136275    0.53871900    8.54358992    4.96972921    3.84705669    5.09568485    2.30946071    5.26537815    5.26537815    8.79908517    8.79908517
    8    5.65767827    5.65767827   12.03749009    6.01399281    7.91123171   12.46124871    5.42234201    7.50238089    0.00000000    5.87878824    7.86487152    7.71693752    3.17764805    3.02942199    5.01425787    9.49331377    8.95152193    4.28833348    4.28833348    6.17382870    6.17382870
    9    1.05215561    1.05215561    6.41998985    6.96842630    2.03297894    6.93878109    6.34784221    5.28538501    5.87878824    0.00000000    2.75252036    5.04081200    4.73445987    3.14797242    1.80879005    3.94965882    7.58456239    1.59493926    1.59493926    3.62867272    3.62867272
   10    3.75690409    3.75690409    6.35054387    9.71895084    2.26432356    6.98939457    9.10036257    7.76136275    7.86487152    2.75252036    0.00000000    7.42350345    5.67633431    5.62984025    4.56117654    4.53390441   10.06583391    3.98809051    3.98809051    2.83787204    2.83787204
   11    4.04496526    4.04496526    6.40657283    4.01396922    5.39862949    6.48422114    3.83028086    0.53871900    7.71693752    5.04081200    7.42350345    0.00000000    8.56040226    5.05405864    3.73777952    4.57934580    2.66279977    5.17794545    5.17794545    8.61164248    8.61164248
   12    5.11603856    5.11603856   11.12123272    8.26395012    6.55958765   11.66048719    7.58902256    8.54358992    3.17764805    4.73445987    5.67633431    8.56040226    0.00000000    3.63767216    4.94905909    8.68279221   10.49818428    3.57605733    3.57605733    3.31828027    3.31828027
   13    2.69116718    2.69116718    9.02929802    4.86440716    5.11283186    9.43934147    4.17676234    4.96972921    3.02942199    3.14797242    5.62984025    5.05405864    3.63767216    0.00000000    1.98717854    6.48831014    6.86095023    1.64455484    1.64455484    4.98760030    4.98760030
   14    0.88843760    0.88843760    7.04915353    5.16067067    3.41102501    7.45258278    4.53935640    3.84705669    5.01425787    1.80879005    4.56117654    3.73777952    4.94905909    1.98717854    0.00000000    4.51304566    6.06485577    1.44348825    1.44348825    4.99381290    4.99381290
   15    3.84416032    3.84416032    2.54430411    8.26601288    2.38775401    3.00562428    7.86871712    5.09568485    9.49331377    3.94965882    4.53390441    4.57934580    8.68279221    6.48831014    4.51304566    0.00000000    7.05669870    5.34348282    5.34348282    6.96768395    6.96768395
   16    6.54911569    6.54911569    8.48112930    3.48109164    8.06121021    8.40145475    3.77799405    2.30946071    8.95152193    7.58456239   10.06583391    2.66279977   10.49818428    6.86095023    6.06485577    7.05669870    0.00000000    7.43625114    7.43625114   11.05328360   11.05328360
   17    1.56694304    1.56694304    7.87076162    6.10123078    3.62425514    8.34824914    5.43180998    5.26537815    4.28833348    1.59493926    3.98809051    5.17794545    3.57605733    1.64455484    1.44348825    5.34348282    7.43625114    0.00000000    0.00000000    3.71895919    3.71895919
   18    1.56694304    1.56694304    7.87076162    6.10123078    3.62425514    8.34824914    5.43180998    5.26537815    4.28833348    1.59493926    3.98809051    5.17794545    3.57605733    1.64455484    1.44348825    5.34348282    7.43625114    0.00000000    0.00000000    3.71895919    3.71895919
   19    4.56865478    4.56865478    9.06815565    9.77636714    4.58291758    9.68582511    9.09629183    8.79908517    6.17382870    3.62867272    2.83787204    8.61164248    3.31828027    4.98760030    4.99381290    6.96768395   11.05328360    3.71895919    3.71895919    0.00000000    0.00000000
   20    4.56865478    4.56865478    9.06815565    9.77636714    4.58291758    9.68582511    9.09629183    8.79908517    6.17382870    3.62867272    2.83787204    8.61164248    3.31828027    4.98760030    4.99381290    6.96768395   11.05328360    3.71895919    3.71895919    0.00000000    0.00000000
;

