# AMPL data file for EVRP instance: C18R2
# Auto-generated by export_to_dat.py
# Nodes: 24 (depot_start + 18 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;

set STATIONS := 20 21 22 23;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.127100
  3  0.091700
  4  0.129500
  5  0.136900
  6  0.070700
  7  0.116300
  8  0.099200
  9  0.112700
  10  0.084300
  11  0.120800
  12  0.064400
  13  0.052200
  14  0.146600
  15  0.124600
  16  0.124200
  17  0.088700
  18  0.110700
  19  0.134300
  20  0.000000
  21  0.000000
  22  0.000000
  23  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  20
  22  21
  23  21
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23 :=
   12   66.95971833   66.95971833  131.12519680   43.64265146   98.17157802   59.34245557   36.33388806   42.73480305   21.53597864  139.10622994   67.01712492  128.12544294    0.00000000   38.72157311   85.98529949    5.99276182   57.64747400   21.45267254   20.77035857   44.81207219   75.41621218   75.41621218   32.76986915   32.76986915
   13   24.12015615   24.12015615   67.94616956   90.84792119   28.02597104   40.77952322   71.29060249   12.63059029   50.33636979   69.86503148   75.18128404    5.37662280   49.98547056    0.00000000   22.25512899   43.18830709   60.23444996  103.18959933   49.09717424    6.39292082  105.57589259  105.57589259   56.85044978   56.85044978
   14   66.17478899   66.17478899    2.03657673   46.33341390   22.64972659   18.94897539   34.37288674   14.56895127   24.51535781   36.37318329  101.38642051   38.64515200   85.98529949   28.72902637    0.00000000   44.62459529   33.81966798   50.87388881   76.27784654   33.71782689   51.59429152   51.59429152  158.43987553  158.43987553
   15   47.42502991   47.42502991   43.80588028   50.28301115   78.69589304   52.82056029   11.76630738   47.68661266   10.74920319   47.53218015   21.42147050   33.43579043    5.99276182   33.45610578  113.57905991    0.00000000   24.92472675   69.05517866   23.40278313  130.36326203   22.51718732   22.51718732   56.89640733   56.89640733
   16   29.82827965   29.82827965  112.81265398   22.64112069   86.14158377   57.06554559   64.71709210   57.63610655   26.15118114   28.04172400   59.81748532  145.91597701   89.25758798   46.66101232   71.76608358   32.17519577    0.00000000   28.72030187   53.26412634  112.08864361   27.03355411   27.03355411   20.65534004   20.65534004
   17   80.58184726   80.58184726   51.17127255  102.29335528   99.61281081   74.61400052   97.17921847   48.32276445   33.32984776   45.61433733   41.67138180  154.57175716   70.48491416   62.77356757   83.62845072   27.13140435   28.72030187    0.00000000   38.85872604   70.98273917    1.51434432    1.51434432   29.00206523   29.00206523
   18   27.44343770   27.44343770   73.57380025   63.28420181   59.05926277  104.65047944   11.74227403   30.77610733   53.13518926  141.05861293   41.21753307   25.31492248   20.77035857   49.09717424   35.94583005   59.56504681   53.26412634   50.16252054    0.00000000   27.98522496   40.32519806   40.32519806   95.35019590   95.35019590
   19   30.46600659   30.46600659   80.82943813  156.12524817   58.11549193  147.97175573   91.70690924   38.80294320   63.85752943  122.01271887   51.36927743   18.37738709  147.23457207    6.39292082   33.71782689   51.21901707  112.08864361   70.98273917   91.94827242    0.00000000   72.41632958   72.41632958   63.23671221   63.23671221
   20   84.22121753   84.22121753   85.41734560  101.29684393   40.14708777   74.22838593   30.93537387   49.22349277   57.53670907  116.61562106   55.74605718   62.07377469   29.63061985  163.46682459   84.81267634   73.98248457   27.03355411    4.97553064   40.32519806   56.09778539    0.00000000    0.00000000   10.74198393   10.74198393
   21   84.22121753   84.22121753   85.41734560  101.29684393   40.14708777   74.22838593   30.93537387   49.22349277   57.53670907  116.61562106   55.74605718   62.07377469   29.63061985  163.46682459   84.81267634   73.98248457   27.03355411    4.97553064   40.32519806   56.09778539    0.00000000    0.00000000   10.74198393   10.74198393
   22  108.07569204  108.07569204  102.84415507   38.54106779   50.48885842   42.88094723   36.86701953  120.95102408   43.27451074   56.48565809   45.64609519  117.74162569   53.86836846  120.63791204  158.43987553   26.81235354   33.95404062   18.73113356  147.63402294   81.63193184   10.74198393   10.74198393    0.00000000    0.00000000
   23  108.07569204  108.07569204  102.84415507   38.54106779   50.48885842   42.88094723   36.86701953  120.95102408   43.27451074   56.48565809   45.64609519  117.74162569   53.86836846  120.63791204  158.43987553   26.81235354   33.95404062   18.73113356  147.63402294   81.63193184   10.74198393   10.74198393    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23 :=
    0    0.00000000    0.00000000    4.89598126    6.98539076    2.38427350    7.18098711    2.38913527    6.14649572    1.36646667    5.83636492    7.68675684    5.65720366    5.10302922    6.03961596    5.04320942    3.61428213    5.78584271    6.14117759    5.32325081    7.62859819    6.41853558    6.41853558    8.23649544    8.23649544
    1    0.00000000    0.00000000    4.89598126    6.98539076    2.38427350    7.18098711    2.38913527    6.14649572    1.36646667    5.83636492    7.68675684    5.65720366    5.10302922    6.03961596    5.04320942    3.61428213    5.78584271    6.14117759    5.32325081    7.62859819    6.41853558    6.41853558    8.23649544    8.23649544
    2    4.89598126    4.89598126    0.00000000    5.81022456    2.56459088    5.11854550    6.41319311    3.28647495    5.93628365    3.14168072   11.66893291    4.16739781    9.99310821    5.17820710    0.39503829    8.49710194    8.59750137    9.92577975    8.68165435    6.16004660   10.07918399   10.07918399   12.13553470   12.13553470
    3    6.98539076    6.98539076    5.81022456    0.00000000    5.61830344    1.22445928    9.36642714    9.09239146    8.33492948    2.75977954   14.61525459    9.79515096   10.92799120   10.71998792    5.46730878    9.75348216    5.66926984    7.79582105   12.27534547   11.89837299    7.71987648    7.71987648    9.65056970    9.65056970
    4    2.38427350    2.38427350    2.56459088    5.61830344    0.00000000    5.46000700    4.29033539    4.61489328    3.57474910    3.78118858    9.70894132    4.69348474    7.48169861    5.43624581    2.67265109    5.99744820    6.56488752    7.59153559    6.96894959    6.85758533    7.78739966    7.78739966    9.79341071    9.79341071
    5    7.18098711    7.18098711    5.11854550    1.22445928    5.46000700    0.00000000    9.50673687    8.39025869    8.54745378    1.97859895   14.86768310    9.23870081   11.51075817   10.21107234    4.74476755   10.24569493    6.73369243    8.80439721   12.34867965   11.27699179    8.75889498    8.75889498   10.73726271   10.73726271
    6    2.38913527    2.38913527    6.41319311    9.36642714    4.29033539    9.50673687    0.00000000    6.48245046    1.13061320    8.02278461    5.42335209    5.47984958    4.28737208    5.43308779    6.66736796    2.94624866    7.63656930    7.40607046    2.94023078    6.98902339    7.74612637    7.74612637    9.23139295    9.23139295
    7    6.14649572    6.14649572    3.28647495    9.09239146    4.61489328    8.39025869    6.48245046    0.00000000    6.57838364    6.41998985   10.84701450    1.48477979   10.70066864    2.44997732    3.64802243    9.24985427   11.17977472   12.09987769    7.70624650    2.95718916   12.32541740   12.32541740   14.27213193   14.27213193
    8    1.36646667    1.36646667    5.93628365    8.33492948    3.57474910    8.54745378    1.13061320    6.57838364    0.00000000    7.17528563    6.32029626    5.79251166    4.17737082    5.93965463    6.13857329    2.69156878    6.54817862    6.46504790    4.04945586    7.53514153    6.78928938    6.78928938    8.39403128    8.39403128
    9    5.83636492    5.83636492    3.14168072    2.75977954    3.78118858    1.97859895    8.02278461    6.41998985    7.17528563    0.00000000   13.44352022    7.26437340   10.60134622    8.24402236    2.77201610    9.21989874    7.02156498    8.84789146   10.75013817    9.29864231    8.88732714    8.88732714   10.95662025   10.95662025
   10    7.68675684    7.68675684   11.66893291   14.61525459    9.70894132   14.86768310    5.42335209   10.84701450    6.32029626   13.44352022    0.00000000    9.46891975    5.10740421    8.87133625   11.96352309    5.36387303   11.60290051   10.43439109    3.14120610    9.96418709   10.81315859   10.81315859   11.42964760   11.42964760
   11    5.65720366    5.65720366    4.16739781    9.79515096    4.69348474    9.23870081    5.47984958    1.48477979    5.79251166    7.26437340    9.46891975    0.00000000    9.76449567    1.04291277    4.56009953    8.37222330   11.12032000   11.77998077    6.33878192    2.16851817   12.04055684   12.04055684   13.89342528   13.89342528
   12    5.10302922    5.10302922    9.99310821   10.92799120    7.48169861   11.51075817    4.28737208   10.70066864    4.17737082   10.60134622    5.10740421    9.76449567    0.00000000    9.69576770   10.14620213    1.50056988    6.80235956    5.37168593    5.20083652   11.22081070    5.74750229    5.74750229    6.35642788    6.35642788
   13    6.03961596    6.03961596    5.17820710   10.71998792    5.43624581   10.21107234    5.43308779    2.44997732    5.93965463    8.24402236    8.87133625    1.04291277    9.69576770    0.00000000    5.57261866    8.37731021   11.68377986   12.17629687    5.79343047    1.60076852   12.45787772   12.45787772   14.23518494   14.23518494
   14    5.04320942    5.04320942    0.39503829    5.46730878    2.67265109    4.74476755    6.66736796    3.64802243    6.13857329    2.77201610   11.96352309    4.56009953   10.14620213    5.57261866    0.00000000    8.65590950    8.46834511    9.86809571    9.00072982    6.54030487   10.00783346   10.00783346   12.07477175   12.07477175
   15    3.61428213    3.61428213    8.49710194    9.75348216    5.99744820   10.24569493    2.94624866    9.24985427    2.69156878    9.21989874    5.36387303    8.37222330    1.50056988    8.37731021    8.65590950    0.00000000    6.24107806    5.26272517    4.53947810    9.93504084    5.63823729    5.63823729    6.71373424    6.71373424
   16    5.78584271    5.78584271    8.59750137    5.66926984    6.56488752    6.73369243    7.63656930   11.17977472    6.54817862    7.02156498   11.60290051   11.12032000    6.80235956   11.68377986    8.46834511    6.24107806    0.00000000    2.18878668   10.33173420   13.22637755    2.06023890    2.06023890    4.00655183    4.00655183
   17    6.14117759    6.14117759    9.92577975    7.79582105    7.59153559    8.80439721    7.40607046   12.09987769    6.46504790    8.84789146   10.43439109   11.77998077    5.37168593   12.17629687    9.86809571    5.26272517    2.18878668    0.00000000    9.73011039   13.76864400    0.37918735    0.37918735    2.21025999    2.21025999
   18    5.32325081    5.32325081    8.68165435   12.27534547    6.96894959   12.34867965    2.94023078    7.70624650    4.04945586   10.75013817    3.14120610    6.33878192    5.20083652    5.79343047    9.00072982    4.53947810   10.33173420    9.73011039    0.00000000    7.00741779   10.09731065   10.09731065   11.25125303   11.25125303
   19    7.62859819    7.62859819    6.16004660   11.89837299    6.85758533   11.27699179    6.98902339    2.95718916    7.53514153    9.29864231    9.96418709    2.16851817   11.22081070    1.60076852    6.54030487    9.93504084   13.22637755   13.76864400    7.00741779    0.00000000   14.04672000   14.04672000   15.83428622   15.83428622
   20    6.41853558    6.41853558   10.07918399    7.71987648    7.78739966    8.75889498    7.74612637   12.32541740    6.78928938    8.88732714   10.81315859   12.04055684    5.74750229   12.45787772   10.00783346    5.63823729    2.06023890    0.37918735   10.09731065   14.04672000    0.00000000    0.00000000    2.08364110    2.08364110
   21    6.41853558    6.41853558   10.07918399    7.71987648    7.78739966    8.75889498    7.74612637   12.32541740    6.78928938    8.88732714   10.81315859   12.04055684    5.74750229   12.45787772   10.00783346    5.63823729    2.06023890    0.37918735   10.09731065   14.04672000    0.00000000    0.00000000    2.08364110    2.08364110
   22    8.23649544    8.23649544   12.13553470    9.65056970    9.79341071   10.73726271    9.23139295   14.27213193    8.39403128   10.95662025   11.42964760   13.89342528    6.35642788   14.23518494   12.07477175    6.71373424    4.00655183    2.21025999   11.25125303   15.83428622    2.08364110    2.08364110    0.00000000    0.00000000
   23    8.23649544    8.23649544   12.13553470    9.65056970    9.79341071   10.73726271    9.23139295   14.27213193    8.39403128   10.95662025   11.42964760   13.89342528    6.35642788   14.23518494   12.07477175    6.71373424    4.00655183    2.21025999   11.25125303   15.83428622    2.08364110    2.08364110    0.00000000    0.00000000
;

